"Condition","value"
"LARG",1064.128
"LARG",1374.464
"LARG",1357.824
"LARG",1228.448
"LARG",1271.296
"LARG",1284.608
"LARG",1531.712
"LARG",1269.216
"LARG",1255.904
"LARG",1744.288
"LARG",1055.392
"LARG",1166.048
"LARG",775.424
"LARG",542.048
"LARG",1399.424
"LARG",794.976
"LARG",1688.544
"LARG",921.856
"LARG",1338.272
"LARG",1357.824
"LARG",1046.24
"LARG",1402.752
"LARG",1566.656
"LARG",1108.224
"LARG",1165.632
"LARG",1370.304
"LARG",1412.736
"LARG",1460.992
"LARG",1257.568
"LARG",1202.656
"LARG",1547.936
"LARG",2075.84
"LARG",812.864
"LARG",983.84
"LARG",637.728
"LARG",958.464
"LARG",946.4
"LARG",781.664
"LARG",787.488
"LARG",1427.296
"LARG",2087.488
"LARG",1504.256
"LARG",1136.928
"LARG",1512.576
"LARG",923.52
"LARG",955.552
"LARG",1107.808
"LARG",1002.144
"LARG",1192.672
"LARG",1514.656
"LARG",1034.176
"LARG",1523.808
"LARG",1196.416
"LARG",1021.28
"LARG",1677.312
"LARG",1541.28
"LARG",1534.624
"LARG",1615.744
"LARG",1116.96
"LARG",2336.256
"LARG",1150.656
"LARG",1127.36
"LARG",940.16
"LARG",923.104
"LARG",871.52
"LARG",1453.504
"LARG",1592.864
"LARG",1369.472
"LARG",1725.152
"LARG",2152.384
"LARG",657.28
"LARG",1189.76
"LARG",2781.376
"LARG",1049.984
"LARG",1890.72
"LARG",2146.976
"LARG",3085.056
"LARG",1067.872
"LARG",1159.808
"LARG",1550.016
"LARG",1633.216
"LARG",1733.472
"LARG",1857.856
"LARG",1494.688
"LARG",1186.016
"LARG",1604.512
"LARG",524.576
"LARG",2064.608
"LARG",1087.008
"LARG",3290.976
"LARG",2545.92
"LARG",1004.64
"LARG",928.928
"LARG",1404
"LARG",1156.064
"LARG",1229.696
"LARG",1496.352
"LARG",1304.16
"LARG",1406.08
"wt",1571.232
"wt",1945.632
"wt",1087.424
"wt",1322.88
"wt",1542.944
"wt",1126.528
"wt",1541.696
"wt",2227.68
"wt",1661.088
"wt",1572.064
"wt",1839.552
"wt",1193.504
"wt",1804.608
"wt",1173.12
"wt",2367.872
"wt",2122.016
"wt",1272.128
"wt",477.152
"wt",875.68
"wt",1250.496
"wt",1458.08
"wt",1567.488
"wt",1565.408
"wt",1240.096
"wt",1621.984
"wt",1131.104
"wt",564.512
"wt",1955.2
"wt",1826.24
"wt",1707.264
"wt",1475.968
"wt",554.112
"wt",1530.88
"wt",2080.832
"wt",2042.976
"wt",1230.528
"wt",1069.952
"wt",1545.024
"wt",1311.648
"wt",1213.472
"wt",921.44
"wt",940.576
"wt",1103.232
"wt",1153.568
"wt",1203.072
"wt",1493.44
"wt",1150.656
"wt",1140.256
"wt",2036.736
"wt",2469.376
"wt",1260.896
"wt",1012.96
"wt",689.728
"wt",2254.304
"wt",2593.76
"wt",1334.112
"wt",1936.064
"wt",1204.736
"wt",1905.696
"wt",1851.616
"wt",1466.4
"wt",2069.6
"wt",1646.944
"wt",990.912
"wt",763.36
"wt",1408.576
"wt",2047.136
"wt",1549.184
"wt",1525.472
"wt",1661.088
"wt",1144.832
"wt",1546.272
"wt",2092.064
"wt",1789.632
"TIAM",3058.432
"TIAM",1766.752
"TIAM",1180.192
"TIAM",3849.248
"TIAM",1616.992
"TIAM",1703.104
"TIAM",2699.008
"TIAM",2788.448
"TIAM",1396.512
"TIAM",3906.656
"TIAM",2250.144
"TIAM",893.568
"TIAM",1124.032
"TIAM",1259.648
"TIAM",1548.352
"TIAM",1490.944
"TIAM",1205.152
"TIAM",948.48
"TIAM",1273.792
"TIAM",1916.096
"TIAM",1780.896
"TIAM",847.392
"TIAM",1119.872
"TIAM",1252.992
"TIAM",591.552
"TIAM",999.648
"TIAM",2016.768
"TIAM",2079.168
"TIAM",2145.728
"TIAM",730.08
"TIAM",1391.936
"TIAM",2350.4
"TIAM",1816.672
"TIAM",1411.072
"TIAM",1453.504
"TIAM",1724.736
"TIAM",877.344
"TIAM",1145.664
"TIAM",1825.824
"TIAM",1833.312
"TIAM",1054.144
"TIAM",1579.552
"TIAM",1969.76
"TIAM",1854.112
"TIAM",1722.656
"TIAM",1331.2
"TIAM",1883.648
"TIAM",3788.512
"TIAM",2962.752
"TIAM",2560.064
"TIAM",1947.296
"TIAM",2691.52
"TIAM",1597.024
"TIAM",1699.36
"TIAM",1639.456
"TIAM",1944.384
"TIAM",1936.064
"TIAM",1348.256
"TIAM",2122.432
"TIAM",2375.776
"TIAM",1465.984
"TIAM",1184.768
"TIAM",984.672
"TIAM",1282.944
"TIAM",2503.904
"TIAM",1828.32
"TIAM",1796.704
"TIAM",1530.464
"TIAM",1182.688
"TIAM",1300
"TIAM",1109.472
"TIAM",1205.152
"TIAM",1394.848
"TIAM",902.72
"TIAM",2957.344
"TIAM",3894.176
"TIAM",1291.264
"TIAM",1703.936
"TIAM",2560.48
"TIAM",1383.616
"TIAM",1836.64
"TIAM",2058.784
"TIAM",1755.936
"TIAM",2311.296
"TIAM",2386.176
"TIAM",2702.336
"TIAM",1685.216
"TIAM",2015.936
"TIAM",1974.336
"TIAM",1706.432
"TIAM",1525.888
"TIAM",2266.368
"TIAM",2434.016
"TIAM",2288
"TIAM",1451.84
"TIAM",3326.336
"TIAM",1707.264
"TIAM",1524.224
"TIAM",1580.8
"TIAM",1077.44
"TIAM",1532.96
"TIAM",851.968
"TIAM",1065.376
"TIAM",1585.376
"TIAM",1050.4
"TIAM",3089.216
"TIAM",1781.312
"TIAM",2609.984
"TIAM",2016.768
"TIAM",2981.056
