"","Condition","Size"
"1","Condition_1",14.4
"2","Condition_2",19.2
"3","Condition_3",16.6
"4","Condition_4",21.9
"5","Condition_5",18.7
"6","Condition_1",16.2
"7","Condition_2",13.7
"8","Condition_3",13.9
"9","Condition_4",20.2
"10","Condition_5",13.2
"11","Condition_1",11.2
"12","Condition_2",13.2
"13","Condition_3",13.2
"14","Condition_4",22.7
"15","Condition_5",18.1
"16","Condition_1",15.2
"17","Condition_2",20.1
"18","Condition_3",13.7
"19","Condition_4",19
"20","Condition_5",18.2
"21","Condition_1",11.7
"22","Condition_2",21.3
"23","Condition_3",15.9
"24","Condition_4",19.5
"25","Condition_5",15.9
"26","Condition_1",17.5
"27","Condition_2",19.9
"28","Condition_3",13
"29","Condition_4",14.3
"30","Condition_5",28.7
"31","Condition_1",17
"32","Condition_2",20.8
"33","Condition_3",10.8
"34","Condition_4",14
"35","Condition_5",29.6
"36","Condition_1",18.7
"37","Condition_2",18.4
"38","Condition_3",14.9
"39","Condition_4",17.5
"40","Condition_5",13.3
"41","Condition_1",19.1
"42","Condition_2",20.7
"43","Condition_3",14.6
"44","Condition_4",16.5
"45","Condition_5",13.9
"46","Condition_1",10.7
"47","Condition_2",19.2
"48","Condition_3",14.2
"49","Condition_4",17.8
"50","Condition_5",13.4
