"","Unique_Unique_Object","Experiment","Aktnac","ERKnac","Condition","Concen"
"1",12,"20200122 P1",0.0558000000000001,-0.2106,"PTx",0
"2",15,"20200122 P1",0.2458,-0.1424,"PTx",0
"3",16,"20200122 P1",0.0412000000000005,-0.2493,"PTx",0
"4",22,"20200122 P1",-0.1194,-0.198,"PTx",0
"5",23,"20200122 P1",0.1838,-0.154,"PTx",0
"6",25,"20200122 P1",0.3291,-0.7078,"PTx",0
"7",26,"20200122 P1",0.1011,-0.0882000000000001,"PTx",0
"8",27,"20200122 P1",0.2923,0.0267,"PTx",0
"9",28,"20200122 P1",-0.3226,-0.4163,"PTx",0
"10",30,"20200122 P1",-0.0395000000000002,-0.1152,"PTx",0
"11",31,"20200122 P1",-0.2789,0.00169999999999981,"PTx",0
"12",35,"20200122 P1",0.0967000000000001,0.468,"PTx",0
"13",39,"20200122 P1",0.4334,-0.201199999999999,"PTx",0
"14",41,"20200122 P1",-0.1253,0.365200000000001,"PTx",0
"15",48,"20200122 P1",0.0134999999999998,-0.2001,"PTx",0
"16",49,"20200122 P1",0.00180000000000008,0.223,"PTx",0
"17",50,"20200122 P1",-0.0337000000000001,-0.1762,"PTx",0
"18",52,"20200122 P1",0.0195999999999998,-0.2662,"PTx",0
"19",60,"20200122 P1",-0.0906000000000002,-0.1654,"PTx",0
"20",62,"20200122 P1",-0.6071,-0.863900000000001,"PTx",0
"21",64,"20200122 P1",0.0603999999999996,0.2246,"PTx",0
"22",66,"20200122 P1",-0.0560999999999995,-0.1258,"PTx",0
"23",68,"20200122 P1",0.1073,0.0131000000000001,"PTx",0
"24",69,"20200122 P1",-0.1862,-0.0107,"PTx",0
"25",70,"20200122 P1",0.1593,0.4318,"PTx",0
"26",71,"20200122 P1",-0.3058,-0.2695,"PTx",0
"27",72,"20200122 P1",-0.0525000000000002,-0.2971,"PTx",0
"28",73,"20200122 P1",0.00879999999999942,0.0154999999999997,"PTx",0
"29",76,"20200122 P1",-0.1641,-0.354,"PTx",0
"30",78,"20200122 P1",-0.1552,-0.2954,"PTx",0
"31",80,"20200122 P1",0.2689,0.4525,"PTx",0
"32",81,"20200122 P1",0.00610000000000016,-0.2906,"PTx",0
"33",84,"20200122 P1",0.2184,0.2419,"PTx",0
"34",85,"20200122 P1",-0.0143999999999999,0.369100000000001,"PTx",0
"35",86,"20200122 P1",0.1914,0.4121,"PTx",0
"36",89,"20200122 P1",0.0134,0.4622,"PTx",0
"37",93,"20200122 P1",0.1371,0.00519999999999932,"PTx",0
"38",96,"20200122 P1",0.1164,-0.241699999999999,"PTx",0
"39",102,"20200122 P1",0.1804,0.3408,"PTx",0
"40",105,"20200122 P1",0.0124999999999999,0.1598,"PTx",0
"41",115,"20200122 P1",0.3455,-0.1148,"PTx",0
"42",118,"20200122 P1",0.1046,0.4488,"PTx",0
"43",122,"20200122 P1",0.0396000000000001,0.4872,"PTx",0
"44",124,"20200122 P1",0.1542,-0.5747,"PTx",0
"45",129,"20200122 P1",-0.2866,-0.2125,"PTx",0
"46",133,"20200122 P1",-0.2153,0.0519000000000002,"PTx",0
"47",143,"20200122 P1",0.193,0.0953999999999998,"PTx",0
"48",150,"20200122 P1",0.1521,0.254,"PTx",0
"49",152,"20200122 P1",0.0377999999999995,0.1766,"PTx",0
"50",156,"20200122 P1",0.0877999999999999,-0.1341,"PTx",0
"51",157,"20200122 P1",-0.2903,-0.385800000000001,"PTx",0
"52",160,"20200122 P1",-0.4173,0.00530000000000008,"PTx",0
"53",161,"20200122 P1",-0.000599999999999795,0.1699,"PTx",0
"54",163,"20200122 P1",0.1773,-0.00340000000000062,"PTx",0
"55",165,"20200122 P1",0.0747000000000002,0.00729999999999975,"PTx",0
"56",167,"20200122 P1",-0.0200999999999998,-0.0899999999999999,"PTx",0
"57",168,"20200122 P1",0.0236999999999997,-0.4027,"PTx",0
"58",171,"20200122 P1",-0.0578999999999997,0.0432999999999997,"PTx",0
"59",179,"20200122 P1",0.0552999999999998,0.433300000000001,"PTx",0
