"","Time_in_min","Inhibitor","CN_ERK","Object","Slide"
"1",2.5,"DMSO",0.3941,100,"P1"
"2",6,"DMSO",0.3798,100,"P1"
"3",9.5,"DMSO",0.3592,100,"P1"
"4",13,"DMSO",0.3687,100,"P1"
"5",16.5,"DMSO",0.3962,100,"P1"
"6",20,"DMSO",0.3897,100,"P1"
"7",23.5,"DMSO",0.3602,100,"P1"
"8",27,"DMSO",0.6348,100,"P1"
"9",30.5,"DMSO",0.9125,100,"P1"
"10",34,"DMSO",0.969,100,"P1"
"11",37.5,"DMSO",0.9095,100,"P1"
"12",41,"DMSO",0.7951,100,"P1"
"13",44.5,"DMSO",0.7051,100,"P1"
"14",48,"DMSO",0.6228,100,"P1"
"15",51.5,"DMSO",0.6571,100,"P1"
"16",55,"DMSO",0.66,100,"P1"
"17",58.5,"DMSO",0.6642,100,"P1"
"18",62,"DMSO",0.6662,100,"P1"
"19",65.5,"DMSO",0.6224,100,"P1"
"20",69,"DMSO",0.6047,100,"P1"
"21",72.5,"DMSO",0.6044,100,"P1"
"22",76,"DMSO",0.6335,100,"P1"
"23",79.5,"DMSO",0.7212,100,"P1"
"24",83,"DMSO",0.7423,100,"P1"
"25",2.5,"DMSO",0.2984,102,"P1"
"26",6,"DMSO",0.305,102,"P1"
"27",9.5,"DMSO",0.3131,102,"P1"
"28",13,"DMSO",0.2992,102,"P1"
"29",16.5,"DMSO",0.296,102,"P1"
"30",20,"DMSO",0.2883,102,"P1"
"31",23.5,"DMSO",0.3138,102,"P1"
"32",27,"DMSO",0.325,102,"P1"
"33",30.5,"DMSO",0.6298,102,"P1"
"34",34,"DMSO",0.8321,102,"P1"
"35",37.5,"DMSO",0.8012,102,"P1"
"36",41,"DMSO",0.7001,102,"P1"
"37",44.5,"DMSO",0.6366,102,"P1"
"38",48,"DMSO",0.5647,102,"P1"
"39",51.5,"DMSO",0.4918,102,"P1"
"40",55,"DMSO",0.4742,102,"P1"
"41",58.5,"DMSO",0.4656,102,"P1"
"42",62,"DMSO",0.4913,102,"P1"
"43",65.5,"DMSO",0.491,102,"P1"
"44",69,"DMSO",0.5143,102,"P1"
"45",72.5,"DMSO",0.584,102,"P1"
"46",76,"DMSO",0.5868,102,"P1"
"47",79.5,"DMSO",0.5526,102,"P1"
"48",83,"DMSO",0.5177,102,"P1"
"49",2.5,"DMSO",0.5252,103,"P1"
"50",6,"DMSO",0.5504,103,"P1"
"51",9.5,"DMSO",0.5936,103,"P1"
"52",13,"DMSO",0.5597,103,"P1"
"53",16.5,"DMSO",0.5371,103,"P1"
"54",20,"DMSO",0.5037,103,"P1"
"55",23.5,"DMSO",0.508,103,"P1"
"56",27,"DMSO",0.7849,103,"P1"
"57",30.5,"DMSO",1.1422,103,"P1"
"58",34,"DMSO",1.1284,103,"P1"
