"","Unique_Unique_Object","Experiment","Aktnac","ERKnac","Condition","Concen"
"2",12,"20200122 P1",0.0558000000000001,-0.2106,"DMSO",0
"3",12,"20200122 P1",0.0558000000000001,-0.2106,"PTx",0
"4",12,"20200122 P1",0.0558000000000001,-0.2106,"YM",0
"5",12,"20200122 P1",0.0558000000000001,-0.2106,"ymptx",0
"7",15,"20200122 P1",0.2458,-0.1424,"DMSO",0
"8",15,"20200122 P1",0.2458,-0.1424,"PTx",0
"9",15,"20200122 P1",0.2458,-0.1424,"YM",0
"10",15,"20200122 P1",0.2458,-0.1424,"ymptx",0
"11",16,"20200122 P1",0.0412000000000005,-0.2493,"DMSO",0
"12",16,"20200122 P1",0.0412000000000005,-0.2493,"PTx",0
"13",16,"20200122 P1",0.0412000000000005,-0.2493,"YM",0
"14",16,"20200122 P1",0.0412000000000005,-0.2493,"ymptx",0
"17",22,"20200122 P1",-0.1194,-0.198,"DMSO",0
"18",22,"20200122 P1",-0.1194,-0.198,"PTx",0
"19",22,"20200122 P1",-0.1194,-0.198,"YM",0
"20",22,"20200122 P1",-0.1194,-0.198,"ymptx",0
"21",23,"20200122 P1",0.1838,-0.154,"DMSO",0
"22",23,"20200122 P1",0.1838,-0.154,"PTx",0
"23",23,"20200122 P1",0.1838,-0.154,"YM",0
"24",23,"20200122 P1",0.1838,-0.154,"ymptx",0
"26",25,"20200122 P1",0.3291,-0.7078,"DMSO",0
"27",25,"20200122 P1",0.3291,-0.7078,"PTx",0
"28",25,"20200122 P1",0.3291,-0.7078,"YM",0
"29",25,"20200122 P1",0.3291,-0.7078,"ymptx",0
"30",26,"20200122 P1",0.1011,-0.0882000000000001,"DMSO",0
"31",26,"20200122 P1",0.1011,-0.0882000000000001,"PTx",0
"32",26,"20200122 P1",0.1011,-0.0882000000000001,"YM",0
"33",26,"20200122 P1",0.1011,-0.0882000000000001,"ymptx",0
"34",27,"20200122 P1",0.2923,0.0267,"DMSO",0
"35",27,"20200122 P1",0.2923,0.0267,"PTx",0
"36",27,"20200122 P1",0.2923,0.0267,"YM",0
"37",27,"20200122 P1",0.2923,0.0267,"ymptx",0
"38",28,"20200122 P1",-0.3226,-0.4163,"DMSO",0
"39",28,"20200122 P1",-0.3226,-0.4163,"PTx",0
"40",28,"20200122 P1",-0.3226,-0.4163,"YM",0
"41",28,"20200122 P1",-0.3226,-0.4163,"ymptx",0
"43",30,"20200122 P1",-0.0395000000000002,-0.1152,"DMSO",0
"44",30,"20200122 P1",-0.0395000000000002,-0.1152,"PTx",0
"45",30,"20200122 P1",-0.0395000000000002,-0.1152,"YM",0
"46",30,"20200122 P1",-0.0395000000000002,-0.1152,"ymptx",0
"48",31,"20200122 P1",-0.2789,0.00169999999999981,"DMSO",0
"49",31,"20200122 P1",-0.2789,0.00169999999999981,"PTx",0
"50",31,"20200122 P1",-0.2789,0.00169999999999981,"YM",0
"51",31,"20200122 P1",-0.2789,0.00169999999999981,"ymptx",0
"52",35,"20200122 P1",0.0967000000000001,0.468,"DMSO",0
"53",35,"20200122 P1",0.0967000000000001,0.468,"PTx",0
"54",35,"20200122 P1",0.0967000000000001,0.468,"YM",0
"55",35,"20200122 P1",0.0967000000000001,0.468,"ymptx",0
"58",39,"20200122 P1",0.4334,-0.201199999999999,"DMSO",0
"59",39,"20200122 P1",0.4334,-0.201199999999999,"PTx",0
"60",39,"20200122 P1",0.4334,-0.201199999999999,"YM",0
"61",39,"20200122 P1",0.4334,-0.201199999999999,"ymptx",0
"63",41,"20200122 P1",-0.1253,0.365200000000001,"DMSO",0
"64",41,"20200122 P1",-0.1253,0.365200000000001,"PTx",0
"65",41,"20200122 P1",-0.1253,0.365200000000001,"YM",0
"66",41,"20200122 P1",-0.1253,0.365200000000001,"ymptx",0
"69",48,"20200122 P1",0.0134999999999998,-0.2001,"DMSO",0
"70",48,"20200122 P1",0.0134999999999998,-0.2001,"PTx",0
"71",48,"20200122 P1",0.0134999999999998,-0.2001,"YM",0
"72",48,"20200122 P1",0.0134999999999998,-0.2001,"ymptx",0
"74",49,"20200122 P1",0.00180000000000008,0.223,"DMSO",0
"75",49,"20200122 P1",0.00180000000000008,0.223,"PTx",0
"76",49,"20200122 P1",0.00180000000000008,0.223,"YM",0
"77",49,"20200122 P1",0.00180000000000008,0.223,"ymptx",0
"78",50,"20200122 P1",-0.0337000000000001,-0.1762,"DMSO",0
"79",50,"20200122 P1",-0.0337000000000001,-0.1762,"PTx",0
"80",50,"20200122 P1",-0.0337000000000001,-0.1762,"YM",0
"81",50,"20200122 P1",-0.0337000000000001,-0.1762,"ymptx",0
"84",52,"20200122 P1",0.0195999999999998,-0.2662,"DMSO",0
"85",52,"20200122 P1",0.0195999999999998,-0.2662,"PTx",0
"86",52,"20200122 P1",0.0195999999999998,-0.2662,"YM",0
"87",52,"20200122 P1",0.0195999999999998,-0.2662,"ymptx",0
"91",60,"20200122 P1",-0.0906000000000002,-0.1654,"DMSO",0
"92",60,"20200122 P1",-0.0906000000000002,-0.1654,"PTx",0
"93",60,"20200122 P1",-0.0906000000000002,-0.1654,"YM",0
"94",60,"20200122 P1",-0.0906000000000002,-0.1654,"ymptx",0
"95",62,"20200122 P1",-0.6071,-0.863900000000001,"DMSO",0
"96",62,"20200122 P1",-0.6071,-0.863900000000001,"PTx",0
"97",62,"20200122 P1",-0.6071,-0.863900000000001,"YM",0
"98",62,"20200122 P1",-0.6071,-0.863900000000001,"ymptx",0
"99",64,"20200122 P1",0.0603999999999996,0.2246,"DMSO",0
"100",64,"20200122 P1",0.0603999999999996,0.2246,"PTx",0
"101",64,"20200122 P1",0.0603999999999996,0.2246,"YM",0
"102",64,"20200122 P1",0.0603999999999996,0.2246,"ymptx",0
"104",66,"20200122 P1",-0.0560999999999995,-0.1258,"DMSO",0
"105",66,"20200122 P1",-0.0560999999999995,-0.1258,"PTx",0
"106",66,"20200122 P1",-0.0560999999999995,-0.1258,"YM",0
"107",66,"20200122 P1",-0.0560999999999995,-0.1258,"ymptx",0
"110",68,"20200122 P1",0.1073,0.0131000000000001,"DMSO",0
"111",68,"20200122 P1",0.1073,0.0131000000000001,"PTx",0
"112",68,"20200122 P1",0.1073,0.0131000000000001,"YM",0
"113",68,"20200122 P1",0.1073,0.0131000000000001,"ymptx",0
"115",69,"20200122 P1",-0.1862,-0.0107,"DMSO",0
"116",69,"20200122 P1",-0.1862,-0.0107,"PTx",0
"117",69,"20200122 P1",-0.1862,-0.0107,"YM",0
"118",69,"20200122 P1",-0.1862,-0.0107,"ymptx",0
"119",70,"20200122 P1",0.1593,0.4318,"DMSO",0
"120",70,"20200122 P1",0.1593,0.4318,"PTx",0
"121",70,"20200122 P1",0.1593,0.4318,"YM",0
"122",70,"20200122 P1",0.1593,0.4318,"ymptx",0
"123",71,"20200122 P1",-0.3058,-0.2695,"DMSO",0
"124",71,"20200122 P1",-0.3058,-0.2695,"PTx",0
"125",71,"20200122 P1",-0.3058,-0.2695,"YM",0
"126",71,"20200122 P1",-0.3058,-0.2695,"ymptx",0
"127",72,"20200122 P1",-0.0525000000000002,-0.2971,"DMSO",0
"128",72,"20200122 P1",-0.0525000000000002,-0.2971,"PTx",0
"129",72,"20200122 P1",-0.0525000000000002,-0.2971,"YM",0
"130",72,"20200122 P1",-0.0525000000000002,-0.2971,"ymptx",0
"131",73,"20200122 P1",0.00879999999999942,0.0154999999999997,"DMSO",0
"132",73,"20200122 P1",0.00879999999999942,0.0154999999999997,"PTx",0
"133",73,"20200122 P1",0.00879999999999942,0.0154999999999997,"YM",0
"134",73,"20200122 P1",0.00879999999999942,0.0154999999999997,"ymptx",0
"137",76,"20200122 P1",-0.1641,-0.354,"DMSO",0
"138",76,"20200122 P1",-0.1641,-0.354,"PTx",0
"139",76,"20200122 P1",-0.1641,-0.354,"YM",0
"140",76,"20200122 P1",-0.1641,-0.354,"ymptx",0
"141",78,"20200122 P1",-0.1552,-0.2954,"DMSO",0
"142",78,"20200122 P1",-0.1552,-0.2954,"PTx",0
"143",78,"20200122 P1",-0.1552,-0.2954,"YM",0
"144",78,"20200122 P1",-0.1552,-0.2954,"ymptx",0
"145",80,"20200122 P1",0.2689,0.4525,"DMSO",0
"146",80,"20200122 P1",0.2689,0.4525,"PTx",0
"147",80,"20200122 P1",0.2689,0.4525,"YM",0
