Tijdstempel,Groep,"Resultaten van de 10 metingen (in µm), van de celkleuring (methyleenblauw)","Resultaten van de 10 metingen (in µm), van de kernkleuring (DAPI)"
,,,
,,,
,,,
,,,
,,,
01/03/2021 15:42:23,B,"64.6, 52.5, 79.4, 48.4, 66.0, 64.4, 69.8, 71.2, 50.7, 51.0","11.8, 7.8, 7.0, 12.4, 12.7, 14.0, 11.9, 12.9, 11.7, 13.2"
01/03/2021 23:50:53,A,"57.7, 64.9, 44.8, 60.8, 46.8, 70.1, 67.8, 74.6, 76.2, 42.7","9.6, 7.1, 8.7, 9.5, 8.1, 6, 8.3, 5.5, 7.8, 6.2"
02/03/2021 17:09:52,B,"14.839,17.578,9.054,16.218,14.724,12.410,14.929,10.950,14.682,14.103","2.792,1.819,2.275,2.426,2.263,2.159,3.056,2.399,2.700,1.551"
03/03/2021 09:30:43,A,"1.393,1.258,1.265,1.075,1.434,1.418,1.256,1.118,1.469,1.077","6.960,4.941,6.139,5.469,7.659,7.002,6.020,6.985,5.249,5.423"
03/03/2021 16:21:32,B,"7.45, 6.71, 9.10, 7.82, 6.77, 4.84, 6.89, 7.72, 8.33, 7.82","1.35, 2.28, 1.28, 1.25, 1.03, 1.34, 1.33, 1.28, 1.22, 1.18"
03/03/2021 21:00:23,A,"5.088, 5.733, 4.952, 3.372, 4.882, 3.612, 7.326, 6.580, 6.567, 6.050","1.686, 1.382, 1.213, 1.198, 1.126, 1.138, 1.491,  1.287, 1.198, 1.323"
04/03/2021 15:43:32,A,"7.68, 6.94, 5.72, 6.82, 6.76, 5.86, 7.59, 8.45, 6.04, 5.36","1.22, 1.08, 1.18, 1.43, 1.05, 0.95, 0.80, 0.89, 1.49, 1.27"
04/03/2021 17:32:39,B,"7.090,5.718,5.299,6.479,4.770,5.615,3.282,4.858,3.669,4.709","0.804,0.999,0.968,1.051,0.846,0.883,0.883,1.019,0.940,0.734"
04/03/2021 20:07:59,B,"87.582,80.989,90.998,76.066,77.906,57.330,55.904,69.800,65.975,71.199","12.092,10.487,9.846,10.225,9.877,11.295,8.672,11.334,10.051,10.217"
04/03/2021 21:49:10,A,"7.36,7.71,7.19,8.35,7.97,6.31,7.72,6.71,7.43,8.11","1.33,1.27,0.94,1.49,1.38,0.86,1.28,1.29,1.27,1.26"
05/03/2021 13:14:48,A,"63.2, 64.5, 52.7, 58.3, 58.1, 83, 62.9, 75, 95, 81.5, 69.2, 58.8, 46.6, 54.7","10.6, 12.2, 10.9, 11.4, 12.4, 11.7, 11.5, 9.8, 11, 15.7, 11, 13.5, 14.1, 12.1"
05/03/2021 13:48:10,B,"15.36, 16.70, 13.70, 15.96, 14.22, 13.44, 15.14, 15.80, 12.52, 13.80","2.84, 2.53, 2.61, 2.23, 2.71, 2.37, 2.16, 2.21, 2.18, 2.30"
05/03/2021 16:50:06,B,64.4,9.36
08/03/2021 12:10:52,B,"91.6,38.4,46.0,72.5,77.9,86.2,51.6,48.6,55.7,65.1","14.6,12.3,15.5,12.5,15.2,12.3,15.5,13.0,12.4,14.0"
08/03/2021 13:27:42,B,6.72,"1,085"
