ID,Material,Requesting Country,Date Ordered
176106,mNeonGreen-Paxillin,UNITED STATES,01/25/2023
191450,CMVdel-dimericTomato-WASp(CRIB),FRANCE,01/25/2023
36205,pmTurquoise2-Golgi,ISRAEL,01/25/2023
176102,iSH-iRFP670-sspB,GERMANY,01/20/2023
176113,SspB-HaloTag-DHPH-ITSN1,GERMANY,01/20/2023
176114,SspB-HaloTag-DHPH-TIAM1,GERMANY,01/20/2023
176116,SSpB-HaloTag-p63DH,GERMANY,01/20/2023
176125,Lck-mTurquoise2-iLID,GERMANY,01/20/2023
176130,pLV-Lck-FRB-mTurquoise2,GERMANY,01/20/2023
191453,nanobody(AntiGFP)-HaloTag-iLID,GERMANY,01/20/2023
176106,mNeonGreen-Paxillin,FRANCE,01/17/2023
36205,pmTurquoise2-Golgi,GERMANY,01/16/2023
22880,pSBFP2-C1,GERMANY,01/12/2023
137805,ER-mScarletI,UNITED STATES,01/08/2023
36208,pmTurquoise2-Mito,CANADA,01/05/2023
69620,Galphai1-mTurquoise2,UNITED STATES,01/05/2023
69623,Gβ-2A-cpV-Gγ2-IRES-Gαi1-mTq2,UNITED STATES,01/05/2023
22878,pSYFP2-C1,UNITED STATES,01/05/2023
176111,SspB-mCherry-DHPH1-TRIO,"KOREA, REPUBLIC OF",12/22/2022
60559,pmTurquoise-N1,UNITED STATES,12/20/2022
176105,LifeAct-HaloTag,AUSTRALIA,12/19/2022
176105,LifeAct-HaloTag,AUSTRALIA,12/19/2022
36203,pmTurquoise2-Peroxi,HONG KONG,12/19/2022
36201,pLifeAct-mTurquoise2,FRANCE,12/16/2022
36204,pmTurquoise2-ER,FRANCE,12/16/2022
137803,EMTB-mTurquoise2,FRANCE,12/16/2022
191454,N1-Tq-Ca-FLITS,"KOREA, REPUBLIC OF",12/15/2022
60559,pmTurquoise-N1,UNITED STATES,12/13/2022
176108,HaloTag-3xrGBD,UNITED STATES,12/13/2022
176109,HaloTag-2xrGBD,UNITED STATES,12/13/2022
137805,ER-mScarletI,UNITED STATES,12/12/2022
36205,pmTurquoise2-Golgi,UNITED STATES,12/10/2022
137804,ER-mNeonGreen,UNITED STATES,12/08/2022
137805,ER-mScarletI,UNITED STATES,12/08/2022
176102,iSH-iRFP670-sspB,UNITED STATES,12/07/2022
176117,SspB-iRFP-DHPH-ITSN1,JAPAN,12/06/2022
176118,SspB-iRFP-DHPH-TIAM1,JAPAN,12/06/2022
176120,SSpB-iRFP-p63DH,JAPAN,12/06/2022
176125,Lck-mTurquoise2-iLID,JAPAN,12/06/2022
137802,EMTB-mNeonGreen,SWITZERLAND,12/06/2022
36206,pmTurquoise2-NES,UNITED STATES,12/02/2022
36208,pmTurquoise2-Mito,PORTUGAL,12/02/2022
176108,HaloTag-3xrGBD,FRANCE,12/02/2022
176116,SSpB-HaloTag-p63DH,FRANCE,12/02/2022
176125,Lck-mTurquoise2-iLID,FRANCE,12/02/2022
84330,pH1R-P2A-mCherry-N1,ROMANIA,12/01/2022
36204,pmTurquoise2-ER,"KOREA, REPUBLIC OF",12/01/2022
36208,pmTurquoise2-Mito,UNITED STATES,11/30/2022
