ID,Material,Requesting Country,Date Ordered
189773,pmScarlet3-Giantin_C1,UNITED STATES,03/18/2024
189768,pmScarlet3-alphaTubulin_C1,DENMARK,03/18/2024
189754,pDx_mScarlet3,UNITED STATES,03/15/2024
189767,pLifeAct-mScarlet3_N1,UNITED STATES,03/15/2024
176098,dimericTomato-2xrGBD,FRANCE,03/15/2024
36201,pLifeAct-mTurquoise2,ISRAEL,03/14/2024
36209,pPalmitoyl-mTurquoise2,ISRAEL,03/14/2024
98817,3xnls-mTurquoise2,ISRAEL,03/14/2024
98822,Lck-mTurquoise2,ISRAEL,03/14/2024
112957,mTurquoise2-PXN,ISRAEL,03/14/2024
137803,EMTB-mTurquoise2,ISRAEL,03/14/2024
176100,mTurquoise2-3xrGBD,ISRAEL,03/14/2024
176107,mTurquoise2-Paxillin,ISRAEL,03/14/2024
176093,miRFP670 - H2A,UNITED STATES,03/13/2024
189753,pmScarlet3_C1,FRANCE,03/13/2024
189756,pmScarlet-I3_C1,FRANCE,03/13/2024
189753,pmScarlet3_C1,SPAIN,03/13/2024
189767,pLifeAct-mScarlet3_N1,UNITED STATES,03/12/2024
189753,pmScarlet3_C1,CANADA,03/12/2024
129608,pTfR-mNeonGreen,UNITED STATES,03/12/2024
98882,Lamp1-mNeonGreen,HONG KONG,03/09/2024
85042,pmScarlet_C1,UNITED KINGDOM,03/08/2024
189753,pmScarlet3_C1,GERMANY,03/07/2024
85042,pmScarlet_C1,UNITED STATES,03/06/2024
36202,pmTurquoise2-Tubulin,UNITED KINGDOM,03/06/2024
189754,pDx_mScarlet3,AUSTRALIA,03/05/2024
85047,pmScarlet-i_alphaTubulin_C1,UNITED STATES,03/05/2024
85068,pCytERM_mScarlet-i_N1,UNITED STATES,03/05/2024
98821,Lck-mScarlet-I,NORWAY,03/05/2024
98832,CytERM-mKOkappa,TAIWAN,03/05/2024
98818,4xmts-mScarlet-I,UNITED STATES,03/02/2024
36203,pmTurquoise2-Peroxi,CANADA,03/01/2024
137805,ER-mScarletI,CZECH REPUBLIC,03/01/2024
85056,pLifeAct_mScarlet-i_N1,UNITED STATES,02/29/2024
98877,LifeAct-mNeonGreen,UNITED STATES,02/29/2024
189753,pmScarlet3_C1,UNITED STATES,02/29/2024
98875,3xnls-mNeonGreen,UNITED STATES,02/29/2024
98876,4xmts-mNeonGreen,UNITED STATES,02/29/2024
129606,ITPKA_3xmNeonGreen ,UNITED STATES,02/29/2024
176098,dimericTomato-2xrGBD,UNITED STATES,02/29/2024
176099,dimericTomato-1xwGBD,UNITED STATES,02/29/2024
189771,pLCK-mScarlet3_C1,UNITED STATES,02/28/2024
189754,pDx_mScarlet3,UNITED STATES,02/28/2024
85063,pmScarlet_peroxisome_C1,CHINA,02/28/2024
36203,pmTurquoise2-Peroxi,CHINA,02/27/2024
36204,pmTurquoise2-ER,CHINA,02/27/2024
85065,pmScarlet-I_peroxisome_C1,CHINA,02/27/2024
98827,Lamp1-mScarlet-I,CHINA,02/27/2024
129630,mTurquoise2-Giantin,CHINA,02/27/2024
137805,ER-mScarletI,CHINA,02/27/2024
98882,Lamp1-mNeonGreen,UNITED STATES,02/27/2024
189775,p3xnls-mScarlet3_N1,UNITED STATES,02/26/2024
191454,N1-Tq-Ca-FLITS,UNITED STATES,02/23/2024
84325,pH1R-mCherry-N1,UNITED STATES,02/23/2024
189764,pDx_mScarlet3-SYFP2,UNITED STATES,02/23/2024
54843,mTurquoise2-N1,ITALY,02/23/2024
85050,pmScarlet-i_Giantin_C1,CHINA,02/23/2024
85065,pmScarlet-I_peroxisome_C1,CHINA,02/23/2024
98816,3xnls-mScarlet-I,CHINA,02/23/2024
98818,4xmts-mScarlet-I,CHINA,02/23/2024
98821,Lck-mScarlet-I,CHINA,02/23/2024
98822,Lck-mTurquoise2,CHINA,02/23/2024
98827,Lamp1-mScarlet-I,CHINA,02/23/2024
98829,ITPKA-mScarlet-I,CHINA,02/23/2024
98875,3xnls-mNeonGreen,CHINA,02/23/2024
98876,4xmts-mNeonGreen,CHINA,02/23/2024
98880,mNeonGreen-Giantin,CHINA,02/23/2024
98882,Lamp1-mNeonGreen,CHINA,02/23/2024
98883,ITPKA-mNeonGreen,CHINA,02/23/2024
112955,mScarletI-Rab7,CHINA,02/23/2024
129603,mNeonGreen-Rab7,CHINA,02/23/2024
137801,EMTB-mScarletI,CHINA,02/23/2024
137802,EMTB-mNeonGreen,CHINA,02/23/2024
137804,ER-mNeonGreen,CHINA,02/23/2024
137805,ER-mScarletI,CHINA,02/23/2024
137806,mNeonGreen-peroxi,CHINA,02/23/2024
189754,pDx_mScarlet3,UNITED STATES,02/22/2024
176127,pLV-SspB-HaloTag-TIAM1-DHPH,UNITED STATES,02/22/2024
176130,pLV-Lck-FRB-mTurquoise2,UNITED STATES,02/22/2024
176138,pLV-mCherry-FKBP-TIAM1(DHPH),UNITED STATES,02/22/2024
191454,N1-Tq-Ca-FLITS,UNITED STATES,02/22/2024
98816,3xnls-mScarlet-I,GERMANY,02/22/2024
98818,4xmts-mScarlet-I,GERMANY,02/22/2024
98831,mScarlet-I-LaminB,GERMANY,02/22/2024
98875,3xnls-mNeonGreen,GERMANY,02/22/2024
189753,pmScarlet3_C1,UNITED STATES,02/21/2024
189756,pmScarlet-I3_C1,UNITED STATES,02/21/2024
98818,4xmts-mScarlet-I,UNITED STATES,02/20/2024
189757,pDx_mScarlet-I3,UNITED STATES,02/20/2024
129632,PB-H2A-mScarlet-2A-AKT_KTR-mTq2-2A-ERK_KTR-mNG,INDIA,02/20/2024
36201,pLifeAct-mTurquoise2,BELGIUM,02/20/2024
98875,3xnls-mNeonGreen,UNITED STATES,02/19/2024
189753,pmScarlet3_C1,UNITED STATES,02/19/2024
137804,ER-mNeonGreen,AUSTRALIA,02/18/2024
189776,pmScarlet3-LaminB_C1,AUSTRALIA,02/18/2024
191454,N1-Tq-Ca-FLITS,UNITED STATES,02/16/2024
114421,mSc-sspB,FRANCE,02/16/2024
191453,nanobody(AntiGFP)-HaloTag-iLID,FRANCE,02/16/2024
189756,pmScarlet-I3_C1,AUSTRALIA,02/15/2024
189767,pLifeAct-mScarlet3_N1,UNITED KINGDOM,02/15/2024
176118,SspB-iRFP-DHPH-TIAM1,SWITZERLAND,02/15/2024
176125,Lck-mTurquoise2-iLID,SWITZERLAND,02/15/2024
129608,pTfR-mNeonGreen,INDIA,02/14/2024
54842,mTurquoise2-C1,UNITED STATES,02/14/2024
54843,mTurquoise2-N1,UNITED STATES,02/14/2024
189757,pDx_mScarlet-I3,UNITED STATES,02/13/2024
129611,mCherry-BetaPix,UNITED STATES,02/13/2024
189752,pDRESS_mTurquoise2_spatial-linker-P2A_mScarlet3,UNITED STATES,02/12/2024
189771,pLCK-mScarlet3_C1,UNITED STATES,02/12/2024
85060,pmScarlet_NES_C1,UNITED KINGDOM,02/12/2024
189771,pLCK-mScarlet3_C1,UNITED KINGDOM,02/12/2024
98882,Lamp1-mNeonGreen,NORWAY,02/12/2024
129603,mNeonGreen-Rab7,NORWAY,02/12/2024
189753,pmScarlet3_C1,NORWAY,02/12/2024
189756,pmScarlet-I3_C1,NORWAY,02/12/2024
129625,dTomato-2xrGBD,UNITED STATES,02/09/2024
98875,3xnls-mNeonGreen,BELGIUM,02/09/2024
