Replicate,Experiment,Construct,Cell,Time_adjusted,Frame,Membrane,Cytosol,Ratio
1,211215_OptoG003_01_4500_4516_iLID_P2_Cell_01,iLID,Cell_01,-12.95,1,200.23,356.14,0.562222721
1,211215_OptoG003_01_4500_4516_iLID_P2_Cell_01,iLID,Cell_01,-10.36,2,202.58,362.64,0.558625634
1,211215_OptoG003_01_4500_4516_iLID_P2_Cell_01,iLID,Cell_01,-7.77,3,212.7,357.81,0.594449568
1,211215_OptoG003_01_4500_4516_iLID_P2_Cell_01,iLID,Cell_01,-5.18,4,218.74,353.31,0.619116357
1,211215_OptoG003_01_4500_4516_iLID_P2_Cell_01,iLID,Cell_01,-2.59,5,205.28,347.05,0.591499784
1,211215_OptoG003_01_4500_4516_iLID_P2_Cell_01,iLID,Cell_01,0,6,215.72,348.98,0.618144306
1,211215_OptoG003_01_4500_4516_iLID_P2_Cell_01,iLID,Cell_01,2.59,7,247.99,311.86,0.795196563
1,211215_OptoG003_01_4500_4516_iLID_P2_Cell_01,iLID,Cell_01,5.18,8,275.94,284.79,0.968924471
1,211215_OptoG003_01_4500_4516_iLID_P2_Cell_01,iLID,Cell_01,7.77,9,260.45,250.11,1.04134181
1,211215_OptoG003_01_4500_4516_iLID_P2_Cell_01,iLID,Cell_01,10.36,10,293.09,232.12,1.262665862
1,211215_OptoG003_01_4500_4516_iLID_P2_Cell_01,iLID,Cell_01,12.95,11,278.98,226.14,1.233660564
1,211215_OptoG003_01_4500_4516_iLID_P2_Cell_01,iLID,Cell_01,15.54,12,277.62,224.88,1.23452508
1,211215_OptoG003_01_4500_4516_iLID_P2_Cell_01,iLID,Cell_01,18.13,13,279.96,228.5,1.225207877
1,211215_OptoG003_01_4500_4516_iLID_P2_Cell_01,iLID,Cell_01,20.72,14,263.81,219.89,1.199736232
1,211215_OptoG003_01_4500_4516_iLID_P2_Cell_01,iLID,Cell_01,23.31,15,268.49,208.81,1.285810067
1,211215_OptoG003_01_4500_4516_iLID_P2_Cell_01,iLID,Cell_01,25.9,16,279.3,208.5,1.339568345
1,211215_OptoG003_01_4500_4516_iLID_P2_Cell_01,iLID,Cell_01,28.49,17,272.22,217.09,1.253949975
1,211215_OptoG003_01_4500_4516_iLID_P2_Cell_01,iLID,Cell_01,31.08,18,278.62,221.44,1.258218931
1,211215_OptoG003_01_4500_4516_iLID_P2_Cell_01,iLID,Cell_01,33.67,19,267.18,215.16,1.241773564
1,211215_OptoG003_01_4500_4516_iLID_P2_Cell_01,iLID,Cell_01,36.26,20,294.09,218.7,1.344718793
1,211215_OptoG003_01_4500_4516_iLID_P2_Cell_01,iLID,Cell_01,38.85,21,262.79,215.47,1.219612939
1,211215_OptoG003_01_4500_4516_iLID_P2_Cell_01,iLID,Cell_01,41.44,22,273.55,221.66,1.234097266
1,211215_OptoG003_01_4500_4516_iLID_P2_Cell_01,iLID,Cell_01,44.03,23,256.39,224.88,1.140119175
1,211215_OptoG003_01_4500_4516_iLID_P2_Cell_01,iLID,Cell_01,46.62,24,269.53,214.69,1.255438074
1,211215_OptoG003_01_4500_4516_iLID_P2_Cell_01,iLID,Cell_01,49.21,25,287.37,220.78,1.301612465
1,211215_OptoG003_01_4500_4516_iLID_P2_Cell_01,iLID,Cell_01,51.8,26,275.23,217.1,1.267756794
1,211215_OptoG003_01_4500_4516_iLID_P2_Cell_01,iLID,Cell_01,54.39,27,253.4,218.94,1.15739472
1,211215_OptoG003_01_4500_4516_iLID_P2_Cell_01,iLID,Cell_01,56.98,28,261.78,208.41,1.256081762
1,211215_OptoG003_01_4500_4516_iLID_P2_Cell_01,iLID,Cell_01,59.57,29,271.85,215.47,1.261660556
1,211215_OptoG003_01_4500_4516_iLID_P2_Cell_01,iLID,Cell_01,62.16,30,269.91,216.36,1.24750416
1,211215_OptoG003_01_4500_4516_iLID_P2_Cell_01,iLID,Cell_01,64.75,31,261.11,214.19,1.219057846
1,211215_OptoG003_01_4500_4516_iLID_P2_Cell_01,iLID,Cell_01,67.34,32,271.54,219.89,1.234890172
1,211215_OptoG003_01_4500_4516_iLID_P2_Cell_01,iLID,Cell_01,69.93,33,260.12,220.29,1.180807118
1,211215_OptoG003_01_4500_4516_iLID_P2_Cell_01,iLID,Cell_01,72.52,34,256.08,222.39,1.151490625
1,211215_OptoG003_01_4500_4516_iLID_P2_Cell_01,iLID,Cell_01,75.11,35,279.65,219.81,1.272235112
1,211215_OptoG003_01_4500_4516_iLID_P2_Cell_01,iLID,Cell_01,77.7,36,252.38,224.09,1.12624392
1,211215_OptoG003_01_4500_4516_iLID_P2_Cell_01,iLID,Cell_01,80.29,37,271.58,217.16,1.250598637
1,211215_OptoG003_01_4500_4516_iLID_P2_Cell_01,iLID,Cell_01,82.88,38,267.16,219.81,1.215413311
