 ,Label,Mean,Slice
1,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t1,12.31,1
2,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t1,14.04,1
3,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t1,16.08,1
4,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t1,18.39,1
5,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t2,12.23,2
6,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t2,13.90,2
7,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t2,15.95,2
8,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t2,18.23,2
9,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t3,11.78,3
10,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t3,13.56,3
11,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t3,15.58,3
12,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t3,17.79,3
13,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t4,11.60,4
14,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t4,13.47,4
15,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t4,15.54,4
16,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t4,17.70,4
17,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t5,11.62,5
18,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t5,13.50,5
19,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t5,15.45,5
20,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t5,17.59,5
21,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t6,11.53,6
22,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t6,13.40,6
23,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t6,15.42,6
24,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t6,17.58,6
25,CFP:Cell-01:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t7,11.50,7
26,CFP:Cell-02:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t7,13.32,7
27,CFP:Cell-03:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t7,15.35,7
28,CFP:Cell-04:180228_YCaM3.60_His_Py-02_w1YCam-CFP_t7,17.43,7
