 ,Label,Mean,Slice
1,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t1,134.96,1
2,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t1,158.22,1
3,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t1,177.44,1
4,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t1,206.63,1
5,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t2,136.09,2
6,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t2,157.61,2
7,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t2,177.46,2
8,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t2,206.78,2
9,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t3,136.41,3
10,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t3,157.98,3
11,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t3,176.49,3
12,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t3,206.68,3
13,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t4,136.91,4
14,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t4,157.25,4
15,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t4,176.72,4
16,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t4,207.13,4
17,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t5,136.64,5
18,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t5,155.92,5
19,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t5,176.90,5
20,YFP:Cell-04:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t5,205.64,5
21,YFP:Cell-01:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t6,135.74,6
22,YFP:Cell-02:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t6,155.87,6
23,YFP:Cell-03:180228_YCaM3.60_His_Py-02_w2YCam-YFP_t6,175.72,6
