BCY_YFP,BCY_CFP,BYC_YFP,BYC_CFP,TCY_YFP,TCY_CFP,TYC_YFP,TYC_CFP,IYC_YFP,IYC_CFP,ICY_YFP,ICY_CFP
88.841,113.92,88.841,113.92,107.36,124.57,148.75,165.71,290.32,122.01,60.505,196.97
95.053,118.53,95.053,118.53,129.05,158.97,166.32,192.1,362.47,151.95,124.82,625.77
99.563,208.09,99.563,208.09,132.55,160.52,170.43,215.41,395.74,159.96,145.51,672.24
105.63,275.01,105.63,275.01,140.84,166.7,191.14,225.23,420.21,194.17,143.98,703.17
124.37,162.51,124.37,162.51,144.45,166.72,198.11,255.85,476.79,161.08,143.45,717.7
142.13,225.24,142.13,225.24,152.47,146.71,213.19,230.92,495.7,225.22,150.59,775.4
152.45,256.21,152.45,256.21,164.21,177.82,214.41,249,512.23,96.546,155.32,777.32
170.04,252.75,170.04,252.75,175.01,234.58,216.98,278.69,524.08,194.05,189.27,781.4
170.71,172.9,170.71,172.9,175.97,192.59,220.1,266.36,529.53,187.97,167.62,829.67
174.02,280.67,174.02,280.67,183.3,259.54,223.87,273.58,539.36,177.42,176.57,843.15
180.83,267.04,180.83,267.04,186.41,213.69,228.03,264.76,549.6,201.6,182.48,870.28
192.8,207.5,192.8,207.5,187.97,232.98,238.54,277.14,582.75,166.86,215.26,1072.6
203.77,90.129,203.77,90.129,198.52,249.92,241.17,341.25,588.25,209.92,190.52,1098.7
205.14,307.22,205.14,307.22,210.8,127.98,241.69,320.64,606.11,300.11,214.17,1103.8
207.67,312.33,207.67,312.33,216.83,247.34,244.58,277.23,620.08,264.41,231.07,1166.9
217.65,184.12,217.65,184.12,220.84,261.04,250.96,373.55,656.96,217.33,222.84,1199.5
222.14,141.1,222.14,141.1,224,223.65,271.91,287.07,657.94,309.96,230.92,1209.7
224.96,355.62,224.96,355.62,231.32,284.91,273.95,309.45,663.46,188.31,222.16,1254.2
231.85,437.84,231.85,437.84,235.2,275.96,276.09,358.95,667.18,221.75,209.6,1267.8
233.3,345.81,233.3,345.81,236.59,282.64,276.79,233.71,673.15,207.07,256.45,1271.6
235.3,380.69,235.3,380.69,240.34,260.99,280.96,341.17,683.14,279.71,294.21,1278.6
