"LMC","construct","glass","state","cell","GFP","RFP","norm_ratio","day"
4457,"G-Ca-FLITS","g1","post",1,1278.117733,2162.809724,0.269879496,1
4457,"G-Ca-FLITS","g1","post",3,1348.130725,2248.606002,0.273895412,1
4457,"G-Ca-FLITS","g1","post",4,7603.045946,13978.2702,0.247886207,1
4457,"G-Ca-FLITS","g1","post",5,2602.330561,4542.77091,0.261415062,1
4457,"G-Ca-FLITS","g1","post",6,6293.405695,10836.10702,0.265123257,1
4457,"G-Ca-FLITS","g1","post",8,898.5548225,1376.184784,0.298861585,1
4457,"G-Ca-FLITS","g1","post",9,2781.217353,4880.764264,0.260003543,1
4457,"G-Ca-FLITS","g1","post",10,1805.23928,3045.686915,0.270705971,1
4457,"G-Ca-FLITS","g1","post",11,4517.80784,7535.887249,0.273879095,1
4457,"G-Ca-FLITS","g1","post",12,1256.45509,1950.805396,0.294717691,1
4457,"G-Ca-FLITS","g1","post",13,1447.032189,2326.443273,0.284394477,1
4457,"G-Ca-FLITS","g1","post",14,1782.135844,2933.00093,0.277671122,1
4457,"G-Ca-FLITS","g1","post",15,1229.493275,1956.78378,0.287354532,1
4457,"G-Ca-FLITS","g1","post",16,1358.278516,2238.251024,0.277312464,1
4457,"G-Ca-FLITS","g1","post",17,1175.808458,1839.543483,0.292433419,1
4457,"G-Ca-FLITS","g1","post",18,1292.788687,2046.435588,0.288946045,1
4457,"G-Ca-FLITS","g1","post",20,1357.445352,2366.078766,0.261817224,1
4457,"G-Ca-FLITS","g1","post",21,2871.75473,4863.823915,0.269635878,1
4457,"G-Ca-FLITS","g1","post",22,1456.836555,2469.948829,0.269352093,1
4457,"G-Ca-FLITS","g1","post",23,3182.013967,5013.147499,0.290352017,1
4457,"G-Ca-FLITS","g1","post",24,948.9284721,1568.734033,0.276401861,1
4457,"G-Ca-FLITS","g1","post",25,1095.359379,1724.07303,0.290631925,1
4457,"G-Ca-FLITS","g1","post",26,2044.767786,3390.945569,0.275516838,1
4457,"G-Ca-FLITS","g1","post",27,1301.361201,2095.755813,0.283906972,1
4457,"G-Ca-FLITS","g1","post",28,2506.942207,3807.384927,0.301438206,1
4457,"G-Ca-FLITS","g1","post",29,1513.843771,2403.616722,0.288053888,1
4457,"G-Ca-FLITS","g1","post",30,1395.736123,2403.816086,0.265054253,1
4457,"G-Ca-FLITS","g1","post",32,4300.450197,7354.98468,0.266955195,1
4457,"G-Ca-FLITS","g1","post",33,2169.026493,3785.41657,0.261482641,1
4457,"G-Ca-FLITS","g1","post",34,1518.300315,2594.092162,0.26723242,1
4457,"G-Ca-FLITS","g1","post",35,1288.779759,2082.989116,0.28286221,1
4457,"G-Ca-FLITS","g1","post",36,1134.755589,1873.745746,0.276732598,1
4457,"G-Ca-FLITS","g1","post",37,2465.488428,4171.586076,0.269910811,1
4457,"G-Ca-FLITS","g1","post",38,1113.502361,1715.256505,0.297105064,1
4457,"G-Ca-FLITS","g1","post",39,3185.605007,5176.015204,0.28133715,1
4457,"G-Ca-FLITS","g1","post",40,2837.69139,4757.407121,0.272463552,1
4457,"G-Ca-FLITS","g1","post",41,919.8805082,1447.46015,0.290716643,1
4457,"G-Ca-FLITS","g1","post",43,1274.697679,1786.972201,0.327103473,1
4457,"G-Ca-FLITS","g1","post",44,1535.671957,2590.934185,0.27070122,1
4457,"G-Ca-FLITS","g1","post",45,1620.583285,2803.555579,0.263844186,1
4457,"G-Ca-FLITS","g1","post",46,1056.574281,1625.418491,0.29750568,1
4457,"G-Ca-FLITS","g1","post",48,1780.241871,2893.638567,0.281230047,1
4457,"G-Ca-FLITS","g1","post",49,5208.125278,9373.188365,0.253367421,1
4457,"G-Ca-FLITS","g1","post",50,1651.582887,2790.755863,0.270278085,1
4457,"G-Ca-FLITS","g1","post",51,1728.289272,2857.141081,0.276402245,1
4457,"G-Ca-FLITS","g1","post",52,922.9737494,1434.072529,0.294499471,1
4457,"G-Ca-FLITS","g1","post",53,758.320655,1277.986943,0.271010522,1
4457,"G-Ca-FLITS","g1","post",54,1119.171367,1654.453188,0.309863564,1
4457,"G-Ca-FLITS","g1","post",55,2327.388519,4005.11357,0.265274385,1
4457,"G-Ca-FLITS","g1","pre",1,1611.833094,2122.647264,0.355688027,1
4457,"G-Ca-FLITS","g1","pre",2,1864.15793,2784.888162,0.312331637,1
4457,"G-Ca-FLITS","g1","pre",3,1453.228227,2292.932387,0.295176691,1
4457,"G-Ca-FLITS","g1","pre",4,7516.86443,13992.48286,0.248634098,1
4457,"G-Ca-FLITS","g1","pre",5,3892.539917,4650.320065,0.393131477,1
4457,"G-Ca-FLITS","g1","pre",6,8838.768228,10429.02785,0.398176291,1
4457,"G-Ca-FLITS","g1","pre",9,1225.336132,1335.349206,0.43195787,1
4457,"G-Ca-FLITS","g1","pre",10,4047.375668,5037.271119,0.376957482,1
4457,"G-Ca-FLITS","g1","pre",11,2612.723239,3118.148321,0.393546327,1
4457,"G-Ca-FLITS","g1","pre",12,5527.904744,7921.97703,0.326022907,1
4457,"G-Ca-FLITS","g1","pre",13,1341.327137,1928.141341,0.324993785,1
4457,"G-Ca-FLITS","g1","pre",14,2149.088719,2444.518084,0.413419312,1
4457,"G-Ca-FLITS","g1","pre",15,2620.858548,2989.660006,0.412212035,1
4457,"G-Ca-FLITS","g1","pre",16,1680.762291,1914.258526,0.412877857,1
4457,"G-Ca-FLITS","g1","pre",17,10348.3789,11692.43316,0.416264077,1
4457,"G-Ca-FLITS","g1","pre",18,1687.17881,2187.586054,0.361423279,1
4457,"G-Ca-FLITS","g1","pre",19,1641.800293,1801.688742,0.428893661,1
4457,"G-Ca-FLITS","g1","pre",20,4507.50641,4984.359686,0.425555798,1
4457,"G-Ca-FLITS","g1","pre",21,1821.055709,2023.308309,0.423487702,1
4457,"G-Ca-FLITS","g1","pre",23,1895.051533,2319.767302,0.383428976,1
4457,"G-Ca-FLITS","g1","pre",24,4145.467545,4895.613413,0.397817655,1
4457,"G-Ca-FLITS","g1","pre",25,2016.190378,2404.04357,0.393911493,1
4457,"G-Ca-FLITS","g1","pre",26,4538.079275,5019.300663,0.425457356,1
4457,"G-Ca-FLITS","g1","pre",27,1046.595434,1505.576539,0.324746974,1
4457,"G-Ca-FLITS","g1","pre",28,1550.7189,1688.661788,0.432294031,1
4457,"G-Ca-FLITS","g1","pre",29,2885.509597,3345.87545,0.405352924,1
4457,"G-Ca-FLITS","g1","pre",30,1843.117632,2095.427747,0.413633276,1
4457,"G-Ca-FLITS","g1","pre",31,3234.90349,3510.827515,0.433785744,1
4457,"G-Ca-FLITS","g1","pre",32,1970.869703,2290.210972,0.404463579,1
4457,"G-Ca-FLITS","g1","pre",33,1335.790321,2280.448609,0.27203121,1
4457,"G-Ca-FLITS","g1","pre",34,2861.336777,3136.917177,0.429323986,1
4457,"G-Ca-FLITS","g1","pre",35,5759.380286,6816.055162,0.396950609,1
4457,"G-Ca-FLITS","g1","pre",36,3229.145942,3923.564059,0.386368144,1
4457,"G-Ca-FLITS","g1","pre",37,1656.830154,2143.392055,0.362263277,1
4457,"G-Ca-FLITS","g1","pre",38,2413.05189,2819.214503,0.402231383,1
4457,"G-Ca-FLITS","g1","pre",39,1665.222537,1912.913129,0.409260573,1
4457,"G-Ca-FLITS","g1","pre",40,3873.153832,5070.463556,0.357864065,1
4457,"G-Ca-FLITS","g1","pre",41,1631.141143,1853.880146,0.413759717,1
4457,"G-Ca-FLITS","g1","pre",42,4347.109442,4764.701536,0.429424149,1
4457,"G-Ca-FLITS","g1","pre",43,3973.296466,4619.60579,0.404237927,1
4457,"G-Ca-FLITS","g1","pre",44,1260.424964,1405.003247,0.422070335,1
4457,"G-Ca-FLITS","g1","pre",46,1219.801234,1642.766017,0.347581492,1
4457,"G-Ca-FLITS","g1","pre",47,1618.964689,1621.047521,0.471041302,1
4457,"G-Ca-FLITS","g1","pre",48,2183.070321,2569.148281,0.399240978,1
4457,"G-Ca-FLITS","g1","pre",49,2251.951844,2663.912857,0.397134825,1
4457,"G-Ca-FLITS","g1","pre",50,1918.848026,2658.058425,0.337639344,1
4457,"G-Ca-FLITS","g1","pre",51,7987.343774,10314.50218,0.362930976,1
4457,"G-Ca-FLITS","g1","pre",52,1840.84515,2524.975964,0.341088001,1
4457,"G-Ca-FLITS","g1","pre",53,2263.378559,3014.383306,0.351596165,1
4457,"G-Ca-FLITS","g1","pre",54,944.6106213,1388.805695,0.317525218,1
4457,"G-Ca-FLITS","g1","pre",55,1086.199772,1322.029047,0.385694537,1
4457,"G-Ca-FLITS","g1","pre",56,1400.573086,1613.933446,0.407951919,1
4457,"G-Ca-FLITS","g1","pre",57,1568.484071,1984.3603,0.370662358,1
4457,"G-Ca-FLITS","g1","pre",58,3042.260454,4146.788737,0.343299012,1
4457,"G-Ca-FLITS","g2","post",1,2694.347536,3762.204866,0.328984123,1
4457,"G-Ca-FLITS","g2","post",2,1946.047885,2920.303672,0.305598366,1
4457,"G-Ca-FLITS","g2","post",3,987.0581688,1586.401214,0.284839121,1
4457,"G-Ca-FLITS","g2","post",4,1010.709143,1378.667153,0.336944763,1
4457,"G-Ca-FLITS","g2","post",5,1070.967623,1715.212696,0.285869851,1
