"","day","month","year","Time","Group","Analysis","S_phase"
"1",4,3,2021,"17:35:44","B","manual",37.29
"2",4,3,2021,"17:35:44","B","automated",37.85
"3",4,3,2021,"23:03:48","A","manual",44
"4",4,3,2021,"23:03:48","A","automated",42
"5",5,3,2021,"16:11:07","B","manual",58.8
"6",5,3,2021,"16:11:07","B","automated",65.8
"7",7,3,2021,"15:18:55","A","manual",39
"8",7,3,2021,"15:18:55","A","automated",39
"9",7,3,2021,"16:30:04","A","manual",21.4
"10",7,3,2021,"16:30:04","A","automated",25.2
"11",7,3,2021,"16:59:51","A","manual",41
"12",7,3,2021,"16:59:51","A","automated",46
"13",8,3,2021,"11:01:41","B","manual",35.6
"14",8,3,2021,"11:01:41","B","automated",34.6
"15",8,3,2021,"12:12:31","B","manual",35.5
"16",8,3,2021,"12:12:31","B","automated",36.7
"17",8,3,2021,"17:04:59","A","manual",45
"18",8,3,2021,"20:17:43","B","manual",41
"19",8,3,2021,"20:17:43","B","automated",41
"20",9,3,2021,"9:33:25","A","manual",38
"21",9,3,2021,"9:33:25","A","automated",38
"22",9,3,2021,"10:00:52","A","manual",62.75
"23",9,3,2021,"10:00:52","A","automated",59.79
"24",9,3,2021,"11:21:20","A","manual",49.5
"25",9,3,2021,"11:21:20","A","automated",47.3
"26",9,3,2021,"12:13:39","B","manual",38.3
"27",9,3,2021,"12:13:39","B","automated",32.2
"28",9,3,2021,"13:29:33","B","manual",44
"29",9,3,2021,"13:29:33","B","automated",47
"30",9,3,2021,"13:41:48","A","manual",30.2
"31",9,3,2021,"13:41:48","A","automated",30
"32",9,3,2021,"15:31:21","B","manual",3.192
"33",9,3,2021,"15:31:21","B","automated",4.643
"34",9,3,2021,"15:53:17","A","manual",25.5
"35",9,3,2021,"15:53:17","A","automated",40.2
"36",9,3,2021,"16:57:57","B","manual",29.9
"37",9,3,2021,"16:57:57","B","automated",29.8
"38",9,3,2021,"17:25:00","A","manual",35.8
"39",9,3,2021,"17:25:00","A","automated",38.2
"40",9,3,2021,"19:21:22","A","manual",33.7
"41",9,3,2021,"19:21:22","A","automated",34.6
"42",9,3,2021,"19:27:27","A","manual",37.2
"43",9,3,2021,"19:27:27","A","automated",38.6
"44",9,3,2021,"19:42:28","B","manual",32.3
"45",9,3,2021,"19:42:28","B","automated",35.5
"46",9,3,2021,"21:26:30","B","manual",45.4
"47",9,3,2021,"21:26:30","B","automated",41.2
"48",14,3,2021,"15:46:54","C","manual",37.84
"49",14,3,2021,"15:46:54","C","automated",37.84
"50",15,3,2021,"13:42:36","C","manual",41.91
"51",15,3,2021,"13:42:36","C","automated",49.23
"52",16,3,2021,"11:58:26","C","manual",32.37
"53",16,3,2021,"11:58:26","C","automated",32.49
"54",16,3,2021,"15:48:28","D","manual",27.8
"55",16,3,2021,"15:48:28","D","automated",61.5
"56",16,3,2021,"16:19:14","C","manual",40.8
"57",16,3,2021,"16:19:14","C","automated",40.7
"58",16,3,2021,"16:25:23","C","manual",38
"59",16,3,2021,"16:25:23","C","automated",35
"60",17,3,2021,"14:21:22","C","manual",40.79
"61",17,3,2021,"14:21:22","C","automated",37.69
"62",17,3,2021,"16:32:59","D","manual",28
"63",17,3,2021,"16:32:59","D","automated",25.31
"64",17,3,2021,"19:59:42","C","manual",37.8
"65",17,3,2021,"19:59:42","C","automated",45.4
"66",17,3,2021,"20:00:16","D","manual",24.24
"67",17,3,2021,"20:00:16","D","automated",26
"68",18,3,2021,"17:03:43","D","manual",36.97
"69",18,3,2021,"17:03:43","D","automated",36.97
"70",18,3,2021,"18:15:15","D","manual",28.7
"71",18,3,2021,"18:15:15","D","automated",37.8
"72",18,3,2021,"19:11:46","C","manual",34.7
