"Wavelength","Fluorescent Protein","Spectrum","Intensity"
300,"mTurquoise2","EX",0.2484
301,"mTurquoise2","EX",0.2266
302,"mTurquoise2","EX",0.2048
303,"mTurquoise2","EX",0.1852
304,"mTurquoise2","EX",0.1634
305,"mTurquoise2","EX",0.1482
306,"mTurquoise2","EX",0.1329
307,"mTurquoise2","EX",0.1242
308,"mTurquoise2","EX",0.1133
309,"mTurquoise2","EX",0.1068
310,"mTurquoise2","EX",0.098
311,"mTurquoise2","EX",0.0937
312,"mTurquoise2","EX",0.0871
313,"mTurquoise2","EX",0.0828
314,"mTurquoise2","EX",0.0806
315,"mTurquoise2","EX",0.0763
316,"mTurquoise2","EX",0.0741
317,"mTurquoise2","EX",0.0741
318,"mTurquoise2","EX",0.0697
319,"mTurquoise2","EX",0.0654
320,"mTurquoise2","EX",0.0654
321,"mTurquoise2","EX",0.0632
322,"mTurquoise2","EX",0.0588
323,"mTurquoise2","EX",0.061
324,"mTurquoise2","EX",0.0588
325,"mTurquoise2","EX",0.0588
326,"mTurquoise2","EX",0.0566
327,"mTurquoise2","EX",0.0545
328,"mTurquoise2","EX",0.0545
329,"mTurquoise2","EX",0.0545
330,"mTurquoise2","EX",0.0523
331,"mTurquoise2","EX",0.0523
332,"mTurquoise2","EX",0.0523
333,"mTurquoise2","EX",0.0501
334,"mTurquoise2","EX",0.0501
335,"mTurquoise2","EX",0.0501
336,"mTurquoise2","EX",0.0501
337,"mTurquoise2","EX",0.0523
338,"mTurquoise2","EX",0.0501
339,"mTurquoise2","EX",0.0479
340,"mTurquoise2","EX",0.0479
341,"mTurquoise2","EX",0.0501
342,"mTurquoise2","EX",0.0479
343,"mTurquoise2","EX",0.0501
344,"mTurquoise2","EX",0.0479
345,"mTurquoise2","EX",0.0479
346,"mTurquoise2","EX",0.0523
347,"mTurquoise2","EX",0.0501
348,"mTurquoise2","EX",0.0523
349,"mTurquoise2","EX",0.0523
350,"mTurquoise2","EX",0.0545
350,"mNeonGreen","EX",0.01
351,"mTurquoise2","EX",0.0566
351,"mNeonGreen","EX",0.0103
352,"mTurquoise2","EX",0.0545
352,"mNeonGreen","EX",0.0101
353,"mTurquoise2","EX",0.0545
353,"mNeonGreen","EX",0.0091
354,"mTurquoise2","EX",0.0566
354,"mNeonGreen","EX",0.0095
355,"mTurquoise2","EX",0.0588
355,"mNeonGreen","EX",0.0094
356,"mTurquoise2","EX",0.0588
356,"mNeonGreen","EX",0.0093
357,"mTurquoise2","EX",0.0632
357,"mNeonGreen","EX",0.0095
358,"mTurquoise2","EX",0.0632
358,"mNeonGreen","EX",0.009
359,"mTurquoise2","EX",0.0632
359,"mNeonGreen","EX",0.009
360,"mTurquoise2","EX",0.0632
360,"mNeonGreen","EX",0.0087
361,"mTurquoise2","EX",0.0654
361,"mNeonGreen","EX",0.0088
362,"mTurquoise2","EX",0.0675
362,"mNeonGreen","EX",0.0089
363,"mTurquoise2","EX",0.0697
363,"mNeonGreen","EX",0.0083
364,"mTurquoise2","EX",0.0719
364,"mNeonGreen","EX",0.0086
365,"mTurquoise2","EX",0.0741
365,"mNeonGreen","EX",0.0079
366,"mTurquoise2","EX",0.0763
366,"mNeonGreen","EX",0.0077
367,"mTurquoise2","EX",0.0806
367,"mNeonGreen","EX",0.0082
368,"mTurquoise2","EX",0.0828
368,"mNeonGreen","EX",0.0075
369,"mTurquoise2","EX",0.0871
369,"mNeonGreen","EX",0.0077
370,"mTurquoise2","EX",0.0915
370,"mNeonGreen","EX",0.0082
371,"mTurquoise2","EX",0.098
371,"mNeonGreen","EX",0.0081
372,"mTurquoise2","EX",0.1024
372,"mNeonGreen","EX",0.0079
373,"mTurquoise2","EX",0.1089
373,"mNeonGreen","EX",0.008
374,"mTurquoise2","EX",0.1155
374,"mNeonGreen","EX",0.008
375,"mTurquoise2","EX",0.1198
375,"mNeonGreen","EX",0.008
376,"mTurquoise2","EX",0.1264
376,"mNeonGreen","EX",0.0078
377,"mTurquoise2","EX",0.1329
377,"mNeonGreen","EX",0.0079
378,"mTurquoise2","EX",0.1416
378,"mNeonGreen","EX",0.0079
379,"mTurquoise2","EX",0.1482
379,"mNeonGreen","EX",0.0084
380,"mTurquoise2","EX",0.1547
380,"mNeonGreen","EX",0.0081
381,"mTurquoise2","EX",0.1634
381,"mNeonGreen","EX",0.0083
382,"mTurquoise2","EX",0.1721
382,"mNeonGreen","EX",0.0088
383,"mTurquoise2","EX",0.183
383,"mNeonGreen","EX",0.0085
384,"mTurquoise2","EX",0.1939
384,"mNeonGreen","EX",0.0087
384,"mScarlet-I","EX",0.0122
385,"mTurquoise2","EX",0.2026
385,"mNeonGreen","EX",0.0091
385,"mScarlet-I","EX",0.012
386,"mTurquoise2","EX",0.2135
386,"mNeonGreen","EX",0.0089
386,"mScarlet-I","EX",0.0117
387,"mTurquoise2","EX",0.22
387,"mNeonGreen","EX",0.0091
387,"mScarlet-I","EX",0.0115
388,"mTurquoise2","EX",0.2331
388,"mNeonGreen","EX",0.0092
388,"mScarlet-I","EX",0.0114
389,"mTurquoise2","EX",0.2484
389,"mNeonGreen","EX",0.0094
389,"mScarlet-I","EX",0.0113
390,"mTurquoise2","EX",0.2571
390,"mNeonGreen","EX",0.0097
390,"mScarlet-I","EX",0.0113
391,"mTurquoise2","EX",0.268
391,"mNeonGreen","EX",0.0098
391,"mScarlet-I","EX",0.0113
392,"mTurquoise2","EX",0.281
392,"mNeonGreen","EX",0.0102
392,"mScarlet-I","EX",0.0113
393,"mTurquoise2","EX",0.2941
393,"mNeonGreen","EX",0.0102
393,"mScarlet-I","EX",0.0115
394,"mTurquoise2","EX",0.3094
394,"mNeonGreen","EX",0.0106
394,"mScarlet-I","EX",0.0116
395,"mTurquoise2","EX",0.3203
395,"mNeonGreen","EX",0.0108
395,"mScarlet-I","EX",0.0118
396,"mTurquoise2","EX",0.3355
396,"mNeonGreen","EX",0.0112
396,"mScarlet-I","EX",0.012
397,"mTurquoise2","EX",0.3508
397,"mNeonGreen","EX",0.0115
397,"mScarlet-I","EX",0.0123
398,"mTurquoise2","EX",0.3682
398,"mNeonGreen","EX",0.0119
398,"mScarlet-I","EX",0.0125
399,"mTurquoise2","EX",0.3856
399,"mNeonGreen","EX",0.0123
399,"mScarlet-I","EX",0.0128
400,"mTurquoise2","EX",0.4009
400,"mNeonGreen","EX",0.0129
400,"mScarlet-I","EX",0.0131
401,"mTurquoise2","EX",0.4183
401,"mNeonGreen","EX",0.0133
401,"mScarlet-I","EX",0.0134
402,"mTurquoise2","EX",0.4379
402,"mNeonGreen","EX",0.0133
402,"mScarlet-I","EX",0.0138
403,"mTurquoise2","EX",0.4575
403,"mNeonGreen","EX",0.0138
403,"mScarlet-I","EX",0.0141
404,"mTurquoise2","EX",0.4771
404,"mNeonGreen","EX",0.0142
404,"mScarlet-I","EX",0.0144
405,"mTurquoise2","EX",0.4967
405,"mNeonGreen","EX",0.0149
405,"mScarlet-I","EX",0.0148
406,"mTurquoise2","EX",0.5142
406,"mNeonGreen","EX",0.0157
406,"mScarlet-I","EX",0.0151
407,"mTurquoise2","EX",0.5338
407,"mNeonGreen","EX",0.0163
407,"mScarlet-I","EX",0.0154
408,"mTurquoise2","EX",0.5512
408,"mNeonGreen","EX",0.0172
408,"mScarlet-I","EX",0.0157
409,"mTurquoise2","EX",0.5664
409,"mNeonGreen","EX",0.0177
409,"mScarlet-I","EX",0.0159
410,"mTurquoise2","EX",0.5839
410,"mNeonGreen","EX",0.0181
410,"mScarlet-I","EX",0.0162
411,"mTurquoise2","EX",0.6013
411,"mNeonGreen","EX",0.0191
411,"mScarlet-I","EX",0.0164
412,"mTurquoise2","EX",0.6166
412,"mNeonGreen","EX",0.0199
412,"mScarlet-I","EX",0.0166
413,"mTurquoise2","EX",0.634
413,"mNeonGreen","EX",0.0207
413,"mScarlet-I","EX",0.0168
414,"mTurquoise2","EX",0.6492
414,"mNeonGreen","EX",0.0218
414,"mScarlet-I","EX",0.0169
415,"mTurquoise2","EX",0.6601
415,"mNeonGreen","EX",0.0225
415,"mScarlet-I","EX",0.0169
416,"mTurquoise2","EX",0.6776
416,"mNeonGreen","EX",0.0238
416,"mScarlet-I","EX",0.017
417,"mTurquoise2","EX",0.695
417,"mNeonGreen","EX",0.0248
417,"mScarlet-I","EX",0.0169
418,"mTurquoise2","EX",0.7146
418,"mNeonGreen","EX",0.0259
418,"mScarlet-I","EX",0.0169
419,"mTurquoise2","EX",0.7342
419,"mNeonGreen","EX",0.0274
419,"mScarlet-I","EX",0.0167
420,"mTurquoise2","EX",0.7516
420,"mNeonGreen","EX",0.0286
420,"mScarlet-I","EX",0.0165
421,"mTurquoise2","EX",0.7756
421,"mNeonGreen","EX",0.03
421,"mScarlet-I","EX",0.0162
422,"mTurquoise2","EX",0.793
422,"mNeonGreen","EX",0.0315
422,"mScarlet-I","EX",0.0159
423,"mTurquoise2","EX",0.8148
423,"mNeonGreen","EX",0.0334
423,"mScarlet-I","EX",0.0155
424,"mTurquoise2","EX",0.8388
424,"mNeonGreen","EX",0.0352
424,"mScarlet-I","EX",0.0151
425,"mTurquoise2","EX",0.8606
425,"mNeonGreen","EX",0.0369
425,"mScarlet-I","EX",0.0146
426,"mTurquoise2","EX",0.8824
426,"mNeonGreen","EX",0.0393
426,"mScarlet-I","EX",0.0141
427,"mTurquoise2","EX",0.9063
427,"mNeonGreen","EX",0.0414
427,"mScarlet-I","EX",0.0136
428,"mTurquoise2","EX",0.9259
428,"mNeonGreen","EX",0.0437
428,"mScarlet-I","EX",0.0131
429,"mTurquoise2","EX",0.9455
429,"mNeonGreen","EX",0.0459
429,"mScarlet-I","EX",0.0127
430,"mTurquoise2","EX",0.9608
430,"mNeonGreen","EX",0.0487
430,"mScarlet-I","EX",0.0124
431,"mTurquoise2","EX",0.9739
431,"mNeonGreen","EX",0.0513
431,"mScarlet-I","EX",0.0121
432,"mTurquoise2","EX",0.9847
432,"mNeonGreen","EX",0.0544
432,"mScarlet-I","EX",0.0119
433,"mTurquoise2","EX",0.9913
433,"mNeonGreen","EX",0.0576
433,"mScarlet-I","EX",0.0118
434,"mTurquoise2","EX",0.9978
434,"mNeonGreen","EX",0.0612
434,"mScarlet-I","EX",0.0117
435,"mTurquoise2","EX",1
435,"mNeonGreen","EX",0.0649
435,"mScarlet-I","EX",0.0118
436,"mTurquoise2","EX",0.9935
436,"mNeonGreen","EX",0.0684
436,"mScarlet-I","EX",0.012
437,"mTurquoise2","EX",0.9891
437,"mNeonGreen","EX",0.0726
437,"mScarlet-I","EX",0.0122
438,"mTurquoise2","EX",0.9826
438,"mNeonGreen","EX",0.0767
438,"mScarlet-I","EX",0.0126
439,"mTurquoise2","EX",0.9717
439,"mNeonGreen","EX",0.0815
439,"mScarlet-I","EX",0.013
440,"mTurquoise2","EX",0.963
440,"mNeonGreen","EX",0.0861
440,"mScarlet-I","EX",0.0134
441,"mTurquoise2","EM",0.012
441,"mTurquoise2","EX",0.9521
441,"mNeonGreen","EX",0.0908
441,"mScarlet-I","EX",0.014
442,"mTurquoise2","EM",0.0133
442,"mTurquoise2","EX",0.9412
442,"mNeonGreen","EX",0.0959
442,"mScarlet-I","EX",0.0146
443,"mTurquoise2","EM",0.0149
443,"mTurquoise2","EX",0.9325
443,"mNeonGreen","EX",0.1011
443,"mScarlet-I","EX",0.0153
444,"mTurquoise2","EM",0.0164
444,"mTurquoise2","EX",0.9259
444,"mNeonGreen","EX",0.1066
444,"mScarlet-I","EX",0.016
445,"mTurquoise2","EM",0.019
445,"mTurquoise2","EX",0.9194
445,"mNeonGreen","EX",0.1122
445,"mScarlet-I","EX",0.0168
446,"mTurquoise2","EM",0.0221
446,"mTurquoise2","EX",0.915
446,"mNeonGreen","EX",0.1178
446,"mScarlet-I","EX",0.0177
447,"mTurquoise2","EM",0.0258
447,"mTurquoise2","EX",0.915
447,"mNeonGreen","EX",0.1241
447,"mScarlet-I","EX",0.0186
448,"mTurquoise2","EM",0.0307
448,"mTurquoise2","EX",0.915
448,"mNeonGreen","EX",0.1305
448,"mScarlet-I","EX",0.0196
449,"mTurquoise2","EM",0.0369
449,"mTurquoise2","EX",0.9172
449,"mNeonGreen","EX",0.1369
449,"mScarlet-I","EX",0.0206
450,"mTurquoise2","EM",0.0448
450,"mTurquoise2","EX",0.9194
450,"mNeonGreen","EX",0.144
450,"mScarlet-I","EX",0.0217
451,"mTurquoise2","EM",0.0548
451,"mTurquoise2","EX",0.9237
451,"mNeonGreen","EX",0.1514
451,"mScarlet-I","EX",0.0228
452,"mTurquoise2","EM",0.068
452,"mTurquoise2","EX",0.9259
452,"mNeonGreen","EX",0.1592
452,"mScarlet-I","EX",0.0239
453,"mTurquoise2","EM",0.0835
453,"mTurquoise2","EX",0.9281
453,"mNeonGreen","EX",0.1676
453,"mScarlet-I","EX",0.0251
454,"mTurquoise2","EM",0.101
454,"mTurquoise2","EX",0.9303
454,"mNeonGreen","EX",0.1764
454,"mScarlet-I","EX",0.0263
455,"mTurquoise2","EM",0.125
455,"mTurquoise2","EX",0.9281
455,"mNeonGreen","EX",0.1858
455,"mScarlet-I","EX",0.0276
456,"mTurquoise2","EM",0.152
456,"mTurquoise2","EX",0.9216
456,"mNeonGreen","EX",0.1961
456,"mScarlet-I","EX",0.0288
457,"mTurquoise2","EM",0.186
457,"mTurquoise2","EX",0.9129
457,"mNeonGreen","EX",0.2065
457,"mScarlet-I","EX",0.0301
458,"mTurquoise2","EM",0.224
458,"mTurquoise2","EX",0.8976
458,"mNeonGreen","EX",0.2178
458,"mScarlet-I","EX",0.0315
459,"mTurquoise2","EM",0.267
459,"mTurquoise2","EX",0.8758
459,"mNeonGreen","EX",0.2297
459,"mScarlet-I","EX",0.0328
460,"mTurquoise2","EM",0.314
460,"mTurquoise2","EX",0.8497
460,"mNeonGreen","EX",0.2421
460,"mScarlet-I","EX",0.0342
461,"mTurquoise2","EM",0.37
461,"mTurquoise2","EX",0.8126
461,"mNeonGreen","EX",0.255
461,"mScarlet-I","EX",0.0356
462,"mTurquoise2","EM",0.431
462,"mTurquoise2","EX",0.7712
462,"mNeonGreen","EX",0.2689
462,"mScarlet-I","EX",0.0371
463,"mTurquoise2","EM",0.496
463,"mTurquoise2","EX",0.7255
463,"mNeonGreen","EX",0.2835
463,"mScarlet-I","EX",0.0385
464,"mTurquoise2","EM",0.56
464,"mTurquoise2","EX",0.6732
464,"mNeonGreen","EX",0.2987
464,"mScarlet-I","EX",0.0401
465,"mTurquoise2","EM",0.629
465,"mTurquoise2","EX",0.6166
465,"mNeonGreen","EX",0.3142
465,"mScarlet-I","EX",0.0416
466,"mTurquoise2","EM",0.696
466,"mTurquoise2","EX",0.5577
466,"mNeonGreen","EX",0.3302
