"Celltype","ligand","number","compartment","Measurement date","SGFP2-CTNNB1"
"B10","WNT3A","c1","cytoplasm","180926",250.188126820392
"B10","WNT3A","c2","cytoplasm","180926",243.404590001166
"B10","WNT3A","c3","cytoplasm","180926",233.140028430596
"B10","WNT3A","c3","nucleus","180926",377.338307209406
"B10","WNT3A","c4","cytoplasm","180926",256.427029973411
"B10","WNT3A","c4","nucleus","180926",379.443187695725
"B10","WNT3A","c5","cytoplasm","180926",509.784428437745
"B10","WNT3A","c5","nucleus","180926",346.377750465178
"B10","BSA","c1","cytoplasm","180926",217.801006130396
"B10","BSA","c1","nucleus","180926",161.644212058445
"B10","BSA","c2","cytoplasm","180926",205.869282805686
"B10","BSA","c2","nucleus","180926",192.253310267485
"B10","BSA","c3","cytoplasm","180926",126.964639130385
"B10","BSA","c4","cytoplasm","180926",171.461879374617
"B10","BSA","c4","nucleus","180926",177.646948522654
"B10","BSA","c5","cytoplasm","180926",239.394925602815
"B10","BSA","c5","nucleus","180926",319.402372941617
"B10","BSA","c1","cytoplasm","181003",100.083977383264
"B10","BSA","c1","nucleus","181003",99.3769377744121
"B10","BSA","c2","cytoplasm","181003",127.186221889074
"B10","BSA","c2","nucleus","181003",79.5263929343709
"B10","BSA","c3","cytoplasm","181003",126.114022660089
"B10","BSA","c3","nucleus","181003",158.019339388016
"B10","BSA","c4","cytoplasm","181003",179.944271425288
"B10","BSA","c4","nucleus","181003",131.26868792784
"B10","WNT3A","c1","cytoplasm","181003",222.864719843426
"B10","WNT3A","c1","nucleus","181003",235.148501389601
"B10","WNT3A","c2","cytoplasm","181003",253.635904607886
"B10","WNT3A","c2","nucleus","181003",278.176404997527
"B10","WNT3A","c3","cytoplasm","181003",267.135216533384
"B10","WNT3A","c3","nucleus","181003",275.080274090367
"B10","WNT3A","c4","cytoplasm","181003",221.077704719269
"B10","WNT3A","c4","nucleus","181003",451.312642666766
"B10","WNT3A","c5","cytoplasm","181003",153.961883602764
"B10","WNT3A","c5","nucleus","181003",210.156361463352
"B10","WNT3A","c6","cytoplasm","181003",86.6142132224942
"B10","WNT3A","c6","nucleus","181003",179.749929136836
"B10","WNT3A","c7","cytoplasm","181003",142.606299382537
"B10","WNT3A","c7","nucleus","181003",224.053169218215
"B10","WNT3A","c8","cytoplasm","181003",295.41747389032
"B10","WNT3A","c8","nucleus","181003",245.168577527445
"B10","WNT3A","c9","cytoplasm","181003",129.64812310805
"B10","WNT3A","c9","nucleus","181003",181.123839880163
"B10","WNT3A","c10","cytoplasm","181003",241.397448043984
"B10","WNT3A","c10","nucleus","181003",325.285603334683
"B10","BSA","c5","cytoplasm","181003",210.319026442051
"B10","BSA","c5","nucleus","181003",138.060142967363
"B10","BSA","c6","cytoplasm","181003",432.277836887865
"B10","BSA","c6","nucleus","181003",111.002619324634
"B10","BSA","c7","cytoplasm","181003",209.282071737934
"B10","BSA","c7","nucleus","181003",122.05684439901
"B10","BSA","c8","cytoplasm","181003",411.830506785165
"B10","BSA","c8","nucleus","181003",90.9614289574886
"B10","BSA","c9","nucleus","181003",108.829126207472
"B10","BSA","c10","cytoplasm","181003",141.571374557491
"B10","BSA","c10","nucleus","181003",126.010998360698
"B10","BSA","c1","cytoplasm","181005",108.920765768416
"B10","BSA","c1","nucleus","181005",55.7144961877628
"B10","BSA","c2","cytoplasm","181005",225.090077838226
"B10","BSA","c2","nucleus","181005",77.6272422843863
"B10","BSA","c3","cytoplasm","181005",243.421375867859
"B10","BSA","c3","nucleus","181005",208.590885126506
"B10","BSA","c4","cytoplasm","181005",63.4132714664757
"B10","BSA","c4","nucleus","181005",67.8019816248085
"B10","BSA","c5","cytoplasm","181005",129.146570114963
"B10","BSA","c5","nucleus","181005",64.5921638488864
"B10","BSA","c6","cytoplasm","181005",75.9509022367597
"B10","BSA","c6","nucleus","181005",88.3262464743955
"B10","WNT3A","c1","cytoplasm","181005",115.174345760808
"B10","WNT3A","c1","nucleus","181005",334.848309939836
"B10","WNT3A","c2","cytoplasm","181005",156.689727666489
"B10","WNT3A","c3","cytoplasm","181005",144.179819168969
"B10","WNT3A","c3","nucleus","181005",230.239467816101
"B10","WNT3A","c4","cytoplasm","181005",145.872299552637
"B10","WNT3A","c4","nucleus","181005",211.221520021994
"B10","WNT3A","c5","cytoplasm","181005",114.895788492119
"B10","WNT3A","c5","nucleus","181005",222.71528920655
"B10","WNT3A","c6","cytoplasm","181005",124.330283463745
"B10","WNT3A","c6","nucleus","181005",193.601681420126
"B10","BSA","c7","cytoplasm","181005",232.76317408072
"B10","BSA","c7","nucleus","181005",302.187807912635
