"Condition","Area"
"LARG",1064.128
"wt",1571.232
"TIAM",3058.432
"LARG",1374.464
"wt",1945.632
"TIAM",1766.752
"LARG",1357.824
"wt",1087.424
"TIAM",1180.192
"LARG",1228.448
"wt",1322.88
"TIAM",3849.248
"LARG",1271.296
"wt",1542.944
"TIAM",1616.992
"LARG",1284.608
"wt",1126.528
"TIAM",1703.104
"LARG",1531.712
"wt",1541.696
"TIAM",2699.008
"LARG",1269.216
"wt",2227.68
"TIAM",2788.448
"LARG",1255.904
"wt",1661.088
"TIAM",1396.512
"LARG",1744.288
"wt",1572.064
"TIAM",3906.656
"LARG",1055.392
"wt",1839.552
"TIAM",2250.144
"LARG",1166.048
"wt",1193.504
"TIAM",893.568
"LARG",775.424
"wt",1804.608
"TIAM",1124.032
"LARG",542.048
"wt",1173.12
"TIAM",1259.648
"LARG",1399.424
"wt",2367.872
"TIAM",1548.352
"LARG",794.976
"wt",2122.016
"TIAM",1490.944
"LARG",1688.544
"wt",1272.128
"TIAM",1205.152
"LARG",921.856
"wt",477.152
"TIAM",948.48
"LARG",1338.272
"wt",875.68
"TIAM",1273.792
"LARG",1357.824
"wt",1250.496
"TIAM",1916.096
"LARG",1046.24
"wt",1458.08
"TIAM",1780.896
"LARG",1402.752
"wt",1567.488
"TIAM",847.392
"LARG",1566.656
"wt",1565.408
"TIAM",1119.872
"LARG",1108.224
"wt",1240.096
"TIAM",1252.992
"LARG",1165.632
"wt",1621.984
"TIAM",591.552
"LARG",1370.304
"wt",1131.104
"TIAM",999.648
"LARG",1412.736
"wt",564.512
"TIAM",2016.768
"LARG",1460.992
"wt",1955.2
"TIAM",2079.168
"LARG",1257.568
"wt",1826.24
"TIAM",2145.728
"LARG",1202.656
"wt",1707.264
"TIAM",730.08
"LARG",1547.936
"wt",1475.968
"TIAM",1391.936
"LARG",2075.84
"wt",554.112
"TIAM",2350.4
"LARG",812.864
"wt",1530.88
"TIAM",1816.672
"LARG",983.84
"wt",2080.832
"TIAM",1411.072
"LARG",637.728
"wt",2042.976
"TIAM",1453.504
"LARG",958.464
"wt",1230.528
"TIAM",1724.736
"LARG",946.4
"wt",1069.952
"TIAM",877.344
"LARG",781.664
"wt",1545.024
"TIAM",1145.664
"LARG",787.488
"wt",1311.648
"TIAM",1825.824
"LARG",1427.296
"wt",1213.472
"TIAM",1833.312
"LARG",2087.488
"wt",921.44
"TIAM",1054.144
"LARG",1504.256
"wt",940.576
"TIAM",1579.552
"LARG",1136.928
"wt",1103.232
"TIAM",1969.76
"LARG",1512.576
"wt",1153.568
"TIAM",1854.112
"LARG",923.52
"wt",1203.072
"TIAM",1722.656
"LARG",955.552
"wt",1493.44
"TIAM",1331.2
"LARG",1107.808
"wt",1150.656
"TIAM",1883.648
"LARG",1002.144
"wt",1140.256
"TIAM",3788.512
"LARG",1192.672
"wt",2036.736
"TIAM",2962.752
"LARG",1514.656
"wt",2469.376
"TIAM",2560.064
"LARG",1034.176
"wt",1260.896
"TIAM",1947.296
"LARG",1523.808
"wt",1012.96
"TIAM",2691.52
"LARG",1196.416
"wt",689.728
"TIAM",1597.024
"LARG",1021.28
"wt",2254.304
"TIAM",1699.36
"LARG",1677.312
"wt",2593.76
"TIAM",1639.456
