"System","Order","YFP","CFP"
" Dual-promotor","CFP first",88.841,113.92
" Dual-promotor","CFP first",95.053,118.53
" Dual-promotor","CFP first",99.563,208.09
" Dual-promotor","CFP first",105.63,275.01
" Dual-promotor","CFP first",124.37,162.51
" Dual-promotor","CFP first",142.13,225.24
" Dual-promotor","CFP first",152.45,256.21
" Dual-promotor","CFP first",170.04,252.75
" Dual-promotor","CFP first",170.71,172.9
" Dual-promotor","CFP first",174.02,280.67
" Dual-promotor","CFP first",180.83,267.04
" Dual-promotor","CFP first",192.8,207.5
" Dual-promotor","CFP first",203.77,90.129
" Dual-promotor","CFP first",205.14,307.22
" Dual-promotor","CFP first",207.67,312.33
" Dual-promotor","CFP first",217.65,184.12
" Dual-promotor","CFP first",222.14,141.1
" Dual-promotor","CFP first",224.96,355.62
" Dual-promotor","CFP first",231.85,437.84
" Dual-promotor","CFP first",233.3,345.81
" Dual-promotor","CFP first",235.3,380.69
" Dual-promotor","CFP first",237.01,186.71
" Dual-promotor","CFP first",239.68,256.49
" Dual-promotor","CFP first",245.47,308.07
" Dual-promotor","CFP first",245.49,361.81
" Dual-promotor","CFP first",251.59,526.08
" Dual-promotor","CFP first",257.68,396.99
" Dual-promotor","CFP first",259.74,262.14
" Dual-promotor","CFP first",270.22,364.58
" Dual-promotor","CFP first",275.38,231.36
" Dual-promotor","CFP first",277.15,619.86
" Dual-promotor","CFP first",280.16,377.41
" Dual-promotor","CFP first",284.81,187.83
" Dual-promotor","CFP first",285.48,289.56
" Dual-promotor","CFP first",296.93,739.39
" Dual-promotor","CFP first",301.68,762.13
" Dual-promotor","CFP first",304.52,449.1
" Dual-promotor","CFP first",306.7,694.78
" Dual-promotor","CFP first",312.86,340.09
" Dual-promotor","CFP first",316.27,214.94
" Dual-promotor","CFP first",316.54,333.09
" Dual-promotor","CFP first",318.24,113.48
" Dual-promotor","CFP first",322.99,688.6
" Dual-promotor","CFP first",329.55,457.08
" Dual-promotor","CFP first",329.86,507.8
" Dual-promotor","CFP first",332.71,278.93
" Dual-promotor","CFP first",333.38,733.28
" Dual-promotor","CFP first",336.35,391.53
" Dual-promotor","CFP first",338.24,412.83
" Dual-promotor","CFP first",343.19,570.79
" Dual-promotor","CFP first",347.98,714.9
" Dual-promotor","CFP first",348.74,535.66
" Dual-promotor","CFP first",352.55,423.95
" Dual-promotor","CFP first",352.6,597.15
" Dual-promotor","CFP first",359.19,435.01
" Dual-promotor","CFP first",360.88,590.95
" Dual-promotor","CFP first",361,563.33
" Dual-promotor","CFP first",361.17,914.7
" Dual-promotor","CFP first",364.08,460.34
" Dual-promotor","CFP first",369.98,704.61
" Dual-promotor","CFP first",370.42,769.7
" Dual-promotor","CFP first",370.51,509.5
" Dual-promotor","CFP first",372.03,456.66
" Dual-promotor","CFP first",374.77,160.01
" Dual-promotor","CFP first",376.46,765.47
" Dual-promotor","CFP first",378.21,306.46
" Dual-promotor","CFP first",382.25,679.47
" Dual-promotor","CFP first",385.85,567.4
" Dual-promotor","CFP first",389.45,671.49
" Dual-promotor","CFP first",391,372.2
" Dual-promotor","CFP first",391.51,772.06
" Dual-promotor","CFP first",391.93,314.97
" Dual-promotor","CFP first",392.44,806.39
" Dual-promotor","CFP first",392.62,204.29
" Dual-promotor","CFP first",392.89,529.39
" Dual-promotor","CFP first",394.22,565.63
" Dual-promotor","CFP first",396.57,310.25
" Dual-promotor","CFP first",402.1,890.66
" Dual-promotor","CFP first",402.16,619.68
" Dual-promotor","CFP first",406.17,197.38
" Dual-promotor","CFP first",406.78,637.04
" Dual-promotor","CFP first",409.09,888.94
" Dual-promotor","CFP first",410.3,787.35
" Dual-promotor","CFP first",411.02,591.33
" Dual-promotor","CFP first",412.47,533.11
" Dual-promotor","CFP first",413.79,968.99
" Dual-promotor","CFP first",415.8,534.03
" Dual-promotor","CFP first",416.62,1153
" Dual-promotor","CFP first",419.67,600.72
" Dual-promotor","CFP first",421.58,679.23
" Dual-promotor","CFP first",422.84,891.59
" Dual-promotor","CFP first",425.96,905.85
" Dual-promotor","CFP first",426.38,461.31
" Dual-promotor","CFP first",427.45,435.73
" Dual-promotor","CFP first",428.91,899.55
" Dual-promotor","CFP first",429.24,223.23
" Dual-promotor","CFP first",431.25,668.25
" Dual-promotor","CFP first",432.32,628.18
" Dual-promotor","CFP first",438.37,775.34
" Dual-promotor","CFP first",439.63,625.85
" Dual-promotor","CFP first",440.52,631.05
" Dual-promotor","CFP first",449.18,515.18
" Dual-promotor","CFP first",450.85,850.28
" Dual-promotor","CFP first",451.03,429.01
" Dual-promotor","CFP first",456.59,483.14
" Dual-promotor","CFP first",456.76,330.27
" Dual-promotor","CFP first",460.15,782.64
" Dual-promotor","CFP first",461.32,675.46
" Dual-promotor","CFP first",467.3,657.78
" Dual-promotor","CFP first",467.65,555.6
" Dual-promotor","CFP first",468.81,517.61
" Dual-promotor","CFP first",469.83,752.54
" Dual-promotor","CFP first",471.5,516.81
" Dual-promotor","CFP first",471.97,703.82
" Dual-promotor","CFP first",474.87,818.6
" Dual-promotor","CFP first",477.27,988.21
" Dual-promotor","CFP first",477.76,538.77
" Dual-promotor","CFP first",478.53,907.62
" Dual-promotor","CFP first",479.4,967.18
" Dual-promotor","CFP first",480.43,686.47
" Dual-promotor","CFP first",481.69,749.08
" Dual-promotor","CFP first",482.34,241.72
" Dual-promotor","CFP first",485.26,344.13
" Dual-promotor","CFP first",489.47,499.83
" Dual-promotor","CFP first",492.01,373.56
" Dual-promotor","CFP first",494.76,706.98
" Dual-promotor","CFP first",495.98,812.03
" Dual-promotor","CFP first",496.93,793.73
" Dual-promotor","CFP first",499.73,683.82
" Dual-promotor","CFP first",502.01,769.64
" Dual-promotor","CFP first",503.85,997.95
" Dual-promotor","CFP first",508.08,504.17
" Dual-promotor","CFP first",508.92,876.24
" Dual-promotor","CFP first",510.66,878.6
" Dual-promotor","CFP first",512.25,963.05
" Dual-promotor","CFP first",513.02,951.22
" Dual-promotor","CFP first",520.22,385.18
" Dual-promotor","CFP first",523.58,382.49
" Dual-promotor","CFP first",524.19,935.92
" Dual-promotor","CFP first",526.78,963.84
" Dual-promotor","CFP first",531.36,965.03
" Dual-promotor","CFP first",534.12,463.69
" Dual-promotor","CFP first",535.02,920.72
" Dual-promotor","CFP first",535.39,908.51
" Dual-promotor","CFP first",541.2,788.77
" Dual-promotor","CFP first",541.99,808.33
" Dual-promotor","CFP first",544.5,997.26
" Dual-promotor","CFP first",545.05,715.49
" Dual-promotor","CFP first",546.99,788.35
" Dual-promotor","CFP first",547.15,715.56
" Dual-promotor","CFP first",550.33,1021.5
" Dual-promotor","CFP first",551.71,602.64
" Dual-promotor","CFP first",553.98,553.45
" Dual-promotor","CFP first",556.64,1394.3
" Dual-promotor","CFP first",558.47,1002.4
" Dual-promotor","CFP first",562.95,746.08
" Dual-promotor","CFP first",568.37,653.83
" Dual-promotor","CFP first",570.14,1058.7
" Dual-promotor","CFP first",573.08,658.71
" Dual-promotor","CFP first",574.7,1047.2
" Dual-promotor","CFP first",574.77,1011
" Dual-promotor","CFP first",577.51,529.85
" Dual-promotor","CFP first",577.97,1086.2
" Dual-promotor","CFP first",580.24,448.1
" Dual-promotor","CFP first",580.47,502.31
" Dual-promotor","CFP first",590.53,767.77
" Dual-promotor","CFP first",597.65,953.16
" Dual-promotor","CFP first",599.75,649.52
" Dual-promotor","CFP first",600.39,444.45
" Dual-promotor","CFP first",600.91,1334.7
" Dual-promotor","CFP first",601.07,815
" Dual-promotor","CFP first",606.4,520.59
" Dual-promotor","CFP first",607.51,227.61
" Dual-promotor","CFP first",607.93,906.57
" Dual-promotor","CFP first",617.5,854.06
" Dual-promotor","CFP first",620.02,1021.8
" Dual-promotor","CFP first",620.27,1439.8
" Dual-promotor","CFP first",622.2,442.57
" Dual-promotor","CFP first",623.9,732.17
" Dual-promotor","CFP first",631.75,1450
" Dual-promotor","CFP first",633.35,595.25
" Dual-promotor","CFP first",634.93,989.04
" Dual-promotor","CFP first",635.63,589.59
" Dual-promotor","CFP first",639.93,868.43
" Dual-promotor","CFP first",639.98,1164.9
" Dual-promotor","CFP first",643.73,1050.1
" Dual-promotor","CFP first",643.74,295.18
" Dual-promotor","CFP first",645.49,1429.2
" Dual-promotor","CFP first",649.64,918.31
" Dual-promotor","CFP first",658.23,1453.1
" Dual-promotor","CFP first",660.96,1241.5
" Dual-promotor","CFP first",661.62,496.24
" Dual-promotor","CFP first",666.4,882.61
" Dual-promotor","CFP first",666.64,320.62
" Dual-promotor","CFP first",671.15,1224.4
" Dual-promotor","CFP first",673.4,1175.5
" Dual-promotor","CFP first",673.41,1308
" Dual-promotor","CFP first",676.86,644.95
" Dual-promotor","CFP first",683.71,1332
" Dual-promotor","CFP first",684,1222.6
" Dual-promotor","CFP first",687.44,2133.1
" Dual-promotor","CFP first",690.12,1208.2
" Dual-promotor","CFP first",690.41,725.64
" Dual-promotor","CFP first",693.74,1243.1
" Dual-promotor","CFP first",697.41,1307.5
" Dual-promotor","CFP first",705.52,1178.2
" Dual-promotor","CFP first",708.23,381.39
" Dual-promotor","CFP first",711.41,1356.9
" Dual-promotor","CFP first",714.65,1476.5
" Dual-promotor","CFP first",715.38,1049.5
" Dual-promotor","CFP first",715.89,1001.3
" Dual-promotor","CFP first",719.76,458.5
" Dual-promotor","CFP first",722.5,1364.9
" Dual-promotor","CFP first",722.87,871.94
" Dual-promotor","CFP first",725.64,1339
" Dual-promotor","CFP first",726.57,515.98
