"type","Time","mean"
"Control",17.75177111,1542.08870025
"Control",17.75454861,1543.0792915
"Control",17.75732639,1544.44613275
"Control",17.76010417,1544.2049055
"Control",17.76288167,1541.768374
"Control",17.76565944,1540.07010175
"Control",17.76843694,1540.8799795
"Control",17.77121472,1540.93286975
"Control",17.77397944,1542.26143275
"Control",17.77675694,1542.631259
"Control",17.77953472,1542.5581475
"Control",17.7823125,1543.47306325
"Control",17.78509,1543.5131695
"Control",17.78786778,1544.4448995
"Control",17.79064556,1547.2657685
"Control",17.79342306,1548.417897
"Control",17.79620083,1549.08419475
"Control",17.79897833,1551.248463
"Control",17.80175611,1552.28728075
"Control",17.80453389,1552.13970425
"Control",17.80731139,1553.53241875
"Control",17.81008917,1553.61667975
"Control",17.81286667,1553.6181175
"Control",17.81564444,1553.957348
"Control",17.81842222,1555.67904725
"Control",17.82119972,1555.40894275
"Control",17.8239775,1553.833089
"Control",17.82675528,1552.699688
"Control",17.82953278,1551.252142
"Control",17.83231056,1551.41712475
"Control",17.83508806,1552.41255425
"Control",17.83786583,1552.439685
"Control",17.84064361,1554.6111695
"Control",17.84342111,1552.84109925
"Control",17.84619889,1552.8622455
"Control",17.84897667,1553.7975435
"Control",17.85175417,1552.78891925
"Control",17.85453194,1549.34041675
"Control",17.85730944,1548.60100125
"Control",17.86008722,1548.1527355
"Control",17.862865,1547.1603605
"Control",17.8656425,1547.0254405
"Control",17.86842028,1546.50772625
"Control",17.87119778,1544.65129325
"Control",17.87397556,1544.17076175
"Control",17.87675333,1543.654945
"Control",17.87953083,1540.654354
"Control",17.88230861,1538.52036925
"Control",17.88508639,1538.75312275
"Control",17.88786389,1539.978095
"Control",17.89064167,1540.26414225
"Control",17.89358833,1540.33639975
"Control",17.89636583,1541.65839375
"Control",17.89914361,1542.163702
"Control",17.90192139,1541.778178
"Control",17.90469889,1541.1861595
"Control",17.90747667,1541.16494525
"Control",17.91025444,1540.9898035
"Control",17.91303194,1542.20111
"Control",17.91580972,1543.661611
"Control",17.91858722,1545.81330475
"Control",17.92171611,1546.85977725
"Control",17.92449361,1548.8161555
"Control",17.92727139,1549.86487625
"Control",17.93021361,1550.380776
"Control",17.93317333,1550.90076675
"Control",17.93595111,1550.76935
"Control",17.93872861,1549.5547345
"Control",17.94150639,1548.127064
"Control",17.94428417,1548.4437595
"Control",17.94710083,1550.8959635
"Control",17.94987833,1553.062675
"Control",17.95265611,1552.31278525
"Control",17.95543361,1552.0218545
"Control",17.95821139,1553.32294575
"Control",17.96098917,1555.47486325
"Control",17.96376667,1557.19015325
"Control",17.96654444,1555.8910255
"Control",17.96932194,1555.8125435
"Control",17.97209972,1554.7896785
"Control",17.9748775,1555.40352275
"Control",17.977655,1555.516159
"Control",17.98043278,1555.06832375
"Control",17.98321056,1554.64196675
"Control",17.98598806,1555.0980645
"Control",17.98876583,1554.920141
"Control",17.99154333,1555.31500625
"Control",17.99432111,1556.21944175
"Control",17.99709889,1556.14760725
"Control",17.99987639,1554.59131075
"Control",18.00265417,1553.69769125
"Control",18.00543194,1553.660242
"Control",18.00820944,1553.10031
"Control",18.01098722,1553.4482145
"Control",18.01392944,1554.6421695
"Control",18.01670722,1553.90634775
"Control",18.01948472,1554.016006
"Control",18.0222625,1553.73071125
"Control",18.02504028,1552.51730575
"Control",18.02781778,1552.626517
"Control",18.03059556,1554.249155
"Control",18.03337306,1554.97639725
"Control",18.03615083,1556.108807
"Control",18.03892861,1557.30753375
"Control",18.04170611,1556.932872
"Control",18.04448389,1557.695882
"Control",18.04726167,1556.121178
"Control",18.05003917,1556.42313775
"Control",18.05281694,1557.092358
"Control",18.05559444,1558.4595055
"Control",18.05837222,1558.60395275
"Control",18.06115,1560.16686425
"Control",18.0639275,1560.45270075
"Control",18.06670528,1560.1395515
"Control",18.06948306,1559.57776575
"Control",18.07226056,1558.708489
"Control",18.07503833,1557.62098025
"Control",18.07781583,1555.7734285
"Control",18.08059361,1554.37512075
"Control",18.08337139,1552.69013225
"Control",18.08614889,1551.83743375
"Control",18.08892667,1549.92559825
"Control",18.09170417,1548.87778225
"Control",18.09448194,1548.68491775
"Control",18.09725972,1549.488638
"Control",18.10008944,1550.0458795
"Control",18.10301,1549.46027725
"Control",18.10584389,1549.05880875
"Control",18.10866944,1550.03548025
"Control",18.11149472,1550.357903
"Control",18.11427222,1550.42418675
"Control",18.11705,1549.4042365
"Control",18.11982778,1549.43288275
"Control",18.12260528,1549.39450275
"Control",18.12538306,1549.33736625
"Control",18.12816056,1549.53568025
"Control",18.13093833,1550.5571375
"Control",18.13371611,1552.02673575
"Control",18.13649361,1551.63809925
"Control",18.13927139,1550.35483275
"Control",18.14204917,1548.78602
"Control",18.14482667,1547.71376175
"Control",18.14760444,1547.05457525
"Control",18.15038194,1547.01462475
"Control",18.15315972,1547.697851
"Control",18.1559375,1548.497954
"Control",18.158715,1548.64550925
"Control",18.16149278,1550.29293675
"Control",18.16427056,1551.55231275
"Control",18.16704806,1551.95407425
"Control",18.16982583,1551.324432
"Control",18.17260333,1550.72935375
"Control",18.17538111,1550.0297355
"Control",18.17815889,1550.0204465
"Control",18.18093639,1549.95169425
"Control",18.18371417,1548.76032625
"Control",18.18649167,1549.36138875
"Control",18.18926944,1548.92281625
"Control",18.19204722,1548.39974725
"Control",18.19482472,1549.66239175
"Control",18.1976025,1549.8147885
"Control",18.20038028,1549.87779725
"Control",18.20315778,1550.03832325
"Control",18.20593556,1550.200627
"Control",18.20871306,1550.50609775
"Control",18.21149083,1549.12443625
"Control",18.21426861,1549.87653875
"Control",18.21704611,1550.07090425
"Control",18.21982389,1550.7184575
"Control",18.22260139,1550.02115325
"Control",18.22537917,1548.3723485
"Control",18.22815694,1547.87667175
"Control",18.23093444,1546.07280375
"Control",18.23371222,1546.39619525
"Control",18.23649,1545.659523
"Control",18.2392675,1543.62550225
"Control",18.24204528,1542.31552275
"Control",18.24482278,1541.352117
"Control",18.24760056,1540.1124645
"Control",18.25037833,1539.148608
"Control",18.25315583,1537.40191375
"Control",18.25593361,1536.48669375
"Control",18.25871139,1535.53805625
"Control",18.26148889,1533.6617355
"Control",18.26426667,1533.62451225
"Control",18.26704417,1534.7410825
"Control",18.26982194,1535.34022
"Control",18.27259972,1535.80616825
"Control",18.27537722,1536.00507025
"Control",18.278155,1537.1198055
"Control",18.2809325,1536.7071885
"Control",18.28371028,1536.32933275
"Control",18.28648806,1536.86638225
"Control",18.28926556,1537.15731525
"Control",18.29204333,1535.84075225
"Control",18.29482111,1536.04243425
"Control",18.29759861,1536.3664785
"Control",18.30037639,1535.1765775
"Control",18.30315389,1536.9131825
"Control",18.30593167,1538.35650075
"Control",18.30870944,1538.3324375
"Control",18.31148694,1538.56781825
"Control",18.31426472,1538.3862635
"Control",18.31704222,1538.81767525
"Control",18.31982,1539.09779
"Control",18.32259778,1538.723166
"Control",18.32537528,1539.331098
"Control",18.32815306,1540.69789275
"Control",18.33093083,1541.57566325
"Control",18.33370833,1542.520679
"Control",18.33648611,1541.0930085
"Control",18.33926361,1540.82388875
"Control",18.34204139,1539.28854575
"Control",18.34481917,1538.31909525
"Control",18.34759667,1538.56293525
"Control",18.35037444,1537.46819725
"Control",18.35315222,1536.094159
"Control",18.35592972,1536.38232
"Control",18.3587075,1535.53058625
"Control",18.361485,1534.1618465
"Control",18.36426278,1533.62020725
"Control",18.36704056,1532.4200925
"Control",18.36981806,1531.99064675
"Control",18.37259583,1531.284957
"Control",18.37537333,1530.48102075
"Control",18.37815111,1530.22415
"Control",18.38092889,1530.31726775
"Control",18.38370639,1530.80839375
"Control",18.38648417,1529.46646075
"Control",18.38926194,1528.263287
"Control",18.39203944,1527.4428875
"Control",18.39481722,1527.54675575
"Control",18.39759472,1527.78504575
"Control",18.4003725,1525.45743025
"Control",18.40315028,1523.9522215
"Control",18.40609694,1523.40960025
"Control",18.40887444,1523.0707285
"Control",18.41165222,1524.795296
"Control",18.41442972,1523.84877475
"Control",18.41737222,1523.0769345
"Control",18.42015,1521.50676025
"Control",18.42309667,1520.226007
"Control",18.42587417,1521.06382175
"Control",18.42865194,1521.4219685
"Control",18.43161167,1522.1311635
"Control",18.43438917,1523.022336
"Control",18.43716694,1523.83455575
"Control",18.43994444,1524.1543915
"Control",18.44272222,1525.46625075
"Control",18.4455,1525.893157
"Control",18.44845083,1524.7553415
"Control",18.45122861,1526.1579015
"Control",18.45400639,1526.70253075
"Control",18.45678389,1526.36258375
"Control",18.45972639,1526.43821125
"Control",18.46250389,1525.92073575
"Control",18.46528167,1525.72676225
"Control",18.46805917,1526.59592475
"Control",18.47083694,1527.1469615
"Control",18.47361472,1528.2914565
"Control",18.47639222,1528.90643825
"Control",18.47917,1529.650709
"Control",18.48194778,1529.7847825
"Control",18.48472528,1530.16253375
"Control",18.48750306,1531.35864225
"Control",18.49028056,1532.15943025
"Control",18.49305833,1533.93921475
"Control",18.49583611,1535.2392415
"Control",18.49861361,1536.48442475
"Control",18.50139139,1538.1282185
"Control",18.50416889,1537.99582125
"Control",18.50694667,1539.2348975
"Control",18.50972444,1539.9529915
"Control",18.51250194,1540.99925975
"Control",18.51527972,1541.51609525
"Control",18.5180575,1541.99878825
"Control",18.520835,1541.30290225
"Control",18.52361278,1540.812047
"Control",18.52639028,1542.242322
"Control",18.52916806,1544.44107125
"Control",18.53194583,1545.62613
"Control",18.53472333,1546.2221085
"Control",18.53750111,1545.8300415
"Control",18.54027861,1546.3472155
"Control",18.54305639,1547.383414
"Control",18.54583417,1549.23173525
"Control",18.54861167,1549.37776175
"Control",18.55138944,1549.18515475
"Control",18.55416722,1549.0020115
"Control",18.55694472,1548.73611875
"Control",18.5597225,1549.7012565
"Control",18.5625,1549.86095075
"Control",18.56527778,1549.490429
"Control",18.56805556,1551.574665
"Control",18.57083306,1552.124091
"Control",18.57361083,1552.45990625
"Control",18.57638861,1553.45440825
"Control",18.57916611,1554.9427695
"Control",18.58194389,1555.168984
"Control",18.58472139,1556.32515625
"Control",18.58749917,1557.36732325
"Control",18.59027694,1557.571717
"Control",18.59305444,1560.09273975
"Control",18.59583222,1561.83659225
"Control",18.59860972,1562.745572
"Control",18.60144806,1562.99391075
"Control",18.60429083,1563.27699875
"Control",18.60720278,1563.33978175
"Control",18.61012361,1563.84713575
"Control",18.61290111,1565.4953565
"Control",18.61567889,1565.653
"Control",18.61845667,1566.074234
"Control",18.62123417,1565.36601825
"Control",18.62401194,1565.74783
"Control",18.62678944,1568.31090125
"Control",18.62956722,1571.05141825
"Control",18.632345,1572.50224375
"Control",18.6351225,1573.42282225
"Control",18.63790028,1574.845123
"Control",18.64067806,1576.749268
"Control",18.64345556,1578.51660325
"Control",18.64623333,1578.8168725
"Control",18.64901083,1580.06492175
"Control",18.65178861,1580.78820925
"Control",18.65456639,1581.19510375
"Control",18.65734389,1581.4768405
"Control",18.66012167,1581.934516
"Control",18.66289917,1581.17774675
"Control",18.66567694,1579.64782025
"Control",18.66845472,1579.6468665
"Control",18.67123222,1581.512222
"Control",18.67401,1580.38683125
"Control",18.67678778,1580.25543775
"Control",18.67956528,1581.15696025
"Control",18.68234306,1583.01588675
"Control",18.68512056,1582.973831
"Control",18.68789833,1582.93365325
"Control",18.69067611,1582.64081225
"Control",18.69345361,1581.4848035
"Control",18.69623139,1580.41027725
"Control",18.69900889,1579.664783
"Control",18.70178667,1578.604626
"Control",18.70456444,1577.79578625
"Control",18.70734194,1579.19339525
"Control",18.71011972,1579.192962
"Control",18.7128975,1578.18368
"Control",18.715675,1577.9227565
"Control",18.71845278,1577.7042315
"Control",18.72123028,1577.55847575
"Control",18.72400806,1576.77451
"Control",18.72678583,1576.7295505
"Control",18.72956333,1576.2371275
"Control",18.73234111,1575.58022425
"Control",18.73511889,1573.67179775
"Control",18.73789639,1571.86490575
"Control",18.74067417,1570.51864825
"Control",18.74345167,1569.62199625
"Control",18.74622944,1568.587959
"Control",18.74900722,1567.2106405
"Control",18.75178472,1567.349111
"Control",18.7545625,1566.18456725
"Control",18.75734,1564.106885
"Control",18.76011778,1563.079139
"Control",18.76289556,1564.3201565
"Control",18.76567306,1563.113243
"Control",18.76845083,1561.86829725
"Control",18.77122861,1562.87366275
"Control",18.77400611,1563.900846
"Control",18.77678389,1563.95415975
"Control",18.77956139,1565.879126
"Control",18.78233917,1566.04150875
"Control",18.78511694,1566.705579
"Control",18.78789444,1565.809743
"Control",18.79067222,1566.256379
"Control",18.79344972,1564.723179
"Control",18.7962275,1565.20965625
"Control",18.79900528,1565.08669825
"Control",18.80178278,1564.01756825
"Control",18.8045475,1564.24979025
"Control",18.80732528,1562.776758
"Control",18.81010278,1560.2400695
"Control",18.81288056,1559.3528335
"Control",18.81565833,1557.49813875
"Control",18.81843583,1557.5588605
"Control",18.82121361,1555.54080175
"Control",18.82399111,1553.0900625
"Control",18.82676889,1553.2432655
"Control",18.82954667,1552.1004945
"Control",18.83232111,1552.13670125
"Control",18.83509889,1551.37884925
"OptoTIAM",17.75177111,1515.21496133333
"OptoTIAM",17.75454861,1514.8912605
"OptoTIAM",17.75732639,1515.22135633333
"OptoTIAM",17.76010417,1515.12604733333
"OptoTIAM",17.76288167,1514.35672833333
"OptoTIAM",17.76565944,1513.4197585
"OptoTIAM",17.76843694,1513.32984966667
"OptoTIAM",17.77121472,1513.80283
"OptoTIAM",17.77397944,1514.03808216667
