"X","Sample","Slice","CFP","YFP","Ratio","Time"
1,"Cell-01",1,1.03375881760161,0.990881191171936,0.958522601500846,2
2,"Cell-02",1,1.02526654009055,1.00523520292765,0.980462312599089,2
3,"Cell-03",1,1.02290076335878,1.00247454831019,0.980031088273393,2
4,"Cell-04",1,1.02508361204013,1.00028077377379,0.975804082735283,2
5,"Cell-01",2,1.02704064494458,0.999177691957534,0.97287064234099,4
6,"Cell-02",2,1.01504308456258,1.0013596279448,0.986519334178138,4
7,"Cell-03",2,1.014631043257,1.00258754138371,0.988130166178807,4
8,"Cell-04",2,1.01616499442586,1.00100691284395,0.985083050818454,4
9,"Cell-01",3,0.98925092374874,1.00152714350744,1.01240961162025,6
10,"Cell-02",3,0.990214692566087,1.00371038654095,1.01362905850235,6
11,"Cell-03",3,0.991094147582697,0.99710737731777,1.00606726389187,6
12,"Cell-04",3,0.991638795986622,1.00052282013051,1.00895893159873,6
13,"Cell-01",4,0.974135035270406,1.00519816155416,1.0318879058437,8
14,"Cell-02",4,0.98364247115525,0.999072403364762,1.01568652499458,8
15,"Cell-03",4,0.988549618320611,0.998406797663303,1.00997135516519,8
16,"Cell-04",4,0.986622073578595,1.00270123734098,1.01629718632187,8
17,"Cell-01",5,0.975814578434666,1.00321581180893,1.02808036893466,10
18,"Cell-02",5,0.985833211625529,0.990622379221835,1.00485798970843,10
19,"Cell-03",5,0.982824427480916,0.999423735325025,1.01688939283556,10
20,"Cell-04",5,0.980490523968785,0.995488255910772,1.01529615184987,10
21,"Cell-01",6,0.968256634195499,0.996607979324826,1.02928081680833,12
22,"Cell-02",6,0.978530743391266,0.990304709141274,1.01203229007318,12
23,"Cell-03",6,0.980916030534351,0.992757143987073,1.01207148530978,12
24,"Cell-04",6,0.979933110367893,0.991905969831342,1.01221803747294,12
25,"Cell-01",7,0.96573731944911,0.987283593486146,1.02231069836809,14
26,"Cell-02",7,0.972688768803856,0.993989682075783,1.02189900197791,14
27,"Cell-03",7,0.9764631043257,0.993774081648795,1.01772824518039,14
