"Time","System","n","mean"
-12.95,"magnets",12,0.60387126525
-12.95,"iLID",17,0.552866988705882
-12.95,"rapamycin",11,0.780547120727273
-10.36,"magnets",12,0.58099789325
-10.36,"iLID",17,0.549622923411765
-10.36,"rapamycin",11,0.788159730727273
-7.77,"magnets",12,0.6144107815
-7.77,"iLID",17,0.564993874529412
-7.77,"rapamycin",11,0.789080702727273
-5.18,"magnets",12,0.585990519916667
-5.18,"iLID",17,0.557521259588235
-5.18,"rapamycin",11,0.780826857727273
-2.59,"magnets",12,0.601798117416667
-2.59,"iLID",17,0.559225804411765
-2.59,"rapamycin",11,0.795499167909091
0,"magnets",12,0.605160552916667
0,"iLID",17,0.557447057176471
0,"rapamycin",11,0.797849327272727
2.59,"magnets",12,0.696630841583333
2.59,"iLID",17,0.675161348352941
2.59,"rapamycin",11,0.692129576545455
5.18,"magnets",12,0.778440034166667
5.18,"iLID",17,0.781731496235294
5.18,"rapamycin",11,0.823763360909091
7.77,"magnets",12,0.83437295525
7.77,"iLID",17,0.867240397941176
7.77,"rapamycin",11,0.850141974727273
10.36,"magnets",12,0.816453419833333
10.36,"iLID",17,0.909173895
10.36,"rapamycin",11,0.920886976
12.95,"magnets",12,0.890604916916667
12.95,"iLID",17,0.937256332941176
12.95,"rapamycin",11,0.958433141090909
15.54,"magnets",12,0.859372385083333
15.54,"iLID",17,0.956923895058823
15.54,"rapamycin",11,1.00082871018182
18.13,"magnets",12,0.88496188825
18.13,"iLID",17,0.966733487235294
18.13,"rapamycin",11,1.04099206090909
20.72,"magnets",12,0.919158864
20.72,"iLID",17,0.979668831235294
20.72,"rapamycin",11,1.06658560372727
23.31,"magnets",12,0.894164035083333
23.31,"iLID",17,1.00925576270588
23.31,"rapamycin",11,1.10180034845455
25.9,"magnets",12,0.90960507975
25.9,"iLID",17,1.01896479747059
25.9,"rapamycin",11,1.12915453354545
28.49,"magnets",12,0.90212562225
28.49,"iLID",17,0.998511144117647
28.49,"rapamycin",11,1.19498659372727
31.08,"magnets",12,0.911987050666667
31.08,"iLID",17,1.01763539911765
31.08,"rapamycin",11,1.24127172045455
33.67,"magnets",12,0.898892096416667
33.67,"iLID",17,1.01528217523529
33.67,"rapamycin",11,1.32623638936364
36.26,"magnets",12,0.91078481125
36.26,"iLID",17,1.04333700611765
36.26,"rapamycin",11,1.334893894
38.85,"magnets",12,0.91811404575
38.85,"iLID",17,1.01114689411765
38.85,"rapamycin",11,1.37288619163636
41.44,"magnets",12,0.9331015595
41.44,"iLID",17,1.01817961
41.44,"rapamycin",11,1.45367290090909
44.03,"magnets",12,0.88823537775
44.03,"iLID",17,1.00185202682353
44.03,"rapamycin",11,1.48416681854545
46.62,"magnets",12,0.886395663083333
46.62,"iLID",17,1.01223613629412
46.62,"rapamycin",11,1.54787297681818
49.21,"magnets",12,0.909022203666667
49.21,"iLID",17,1.03727622047059
49.21,"rapamycin",11,1.58495083663636
51.8,"magnets",12,0.891078527833333
51.8,"iLID",17,1.01785589011765
51.8,"rapamycin",11,1.65936191909091
54.39,"magnets",12,0.939654019583333
54.39,"iLID",17,1.01290038288235
54.39,"rapamycin",11,1.70132782872727
56.98,"magnets",12,0.905660807166667
56.98,"iLID",17,1.03117769923529
56.98,"rapamycin",11,1.72822779563636
59.57,"magnets",12,0.876163133833333
59.57,"iLID",17,1.03053521358824
59.57,"rapamycin",11,1.75162560963636
62.16,"magnets",12,0.904199645916667
62.16,"iLID",17,1.01150059288235
62.16,"rapamycin",11,1.87610022645455
64.75,"magnets",12,0.882239662083333
64.75,"iLID",17,1.01212078488235
64.75,"rapamycin",11,1.85926100990909
67.34,"magnets",12,0.866052424
67.34,"iLID",17,1.02183115364706
