"Year","Month","total_max"
2010,3,1
2010,6,2
2010,7,5
2010,8,8
2010,9,9
2010,10,13
2011,1,17
2011,4,18
2011,6,20
2011,7,21
2011,8,22
2011,9,27
2011,11,29
2011,12,34
2012,2,39
2012,4,44
2012,5,49
2012,6,51
2012,7,52
2012,8,58
2012,9,79
2012,10,164
2012,11,192
2012,12,218
2013,1,270
2013,2,308
2013,3,333
2013,4,374
2013,5,410
2013,6,449
2013,7,482
2013,8,513
2013,9,548
2013,10,624
2013,11,655
2013,12,691
2014,1,761
2014,2,826
2014,3,892
2014,4,951
2014,5,1002
2014,6,1076
2014,7,1143
2014,8,1203
2014,9,1233
2014,10,1272
2014,11,1318
2014,12,1359
2015,1,1395
2015,2,1424
2015,3,1458
2015,4,1506
2015,5,1536
2015,6,1566
2015,7,1587
2015,8,1602
2015,9,1630
2015,10,1672
2015,11,1730
2015,12,1755
2016,1,1780
2016,2,1804
2016,3,1848
2016,4,1880
2016,5,1932
2016,6,1963
2016,7,1991
2016,8,2020
2016,9,2046
2016,10,2062
2016,11,2088
2016,12,2192
2017,1,2398
2017,2,2552
2017,3,2674
2017,4,2773
2017,5,2867
2017,6,2945
2017,7,3012
2017,8,3108
2017,9,3234
2017,10,3318
2017,11,3384
2017,12,3487
2018,1,3555
2018,2,3650
2018,3,3747
2018,4,3830
2018,5,3900
2018,6,3976
2018,7,4070
2018,8,4129
2018,9,4184
2018,10,4266
2018,11,4358
2018,12,4394
2019,1,4445
2019,2,4498
2019,3,4598
2019,4,4716
2019,5,4799
2019,6,4888
2019,7,5003
2019,8,5074
2019,9,5141
2019,10,5225
2019,11,5294
2019,12,5352
2020,1,5430
2020,2,5514
2020,3,5566
2020,4,5589
2020,5,5647
2020,6,5766
2020,7,5866
2020,8,5938
2020,9,6034
2020,10,6129
2020,11,6219
2020,12,6307
2021,1,6379
2021,2,6456
2021,3,6610
2021,4,6704
2021,5,6833
2021,6,6929
2021,7,7059
2021,8,7137
2021,9,7198
2021,10,7290
2021,11,7371
2021,12,7439
2022,1,7517
2022,2,7582
2022,3,7677
2022,4,7759
2022,5,7846
2022,6,7932
2022,7,8008
2022,8,8119
2022,9,8232
2022,10,8328
2022,11,8441
2022,12,8517
2023,1,8590
2023,2,8662
2023,3,8844
2023,4,9059
2023,5,9220
2023,6,9342
2023,7,9429
2023,8,9510
2023,9,9605
2023,10,9729
2023,11,9817
2023,12,9881
2024,1,9986
2024,2,10094
2024,3,10127
2012,0,34
2013,0,218
2014,0,691
2015,0,1359
2016,0,1755
2017,0,2192
2018,0,3487
2019,0,4394
2020,0,5352
2021,0,6307
2022,0,7439
2023,0,8517
2024,0,9881
