"Material","n","flame"
"pmTurquoise2-Mito",352,"#50B0E8"
"pmTurquoise2-Golgi",340,"#50B0E8"
"pPalmitoyl-mTurquoise2",340,"#50B0E8"
"pLifeAct-mTurquoise2",330,"#50B0E8"
"pmTurquoise2-ER",268,"#50B0E8"
"pmTurquoise2-Tubulin",207,"#50B0E8"
"pmTurquoise2-H2A",193,"#50B0E8"
"pmTurquoise2-Peroxi",150,"#50B0E8"
"pSBFP2-C1",128,"#50B0E8"
"pmTurquoise2-NES",124,"#50B0E8"
"pSYFP2-C1",103,"#50B0E8"
"pmTurquoise2-N1",89,"#E19E37"
"pmTurquoise2-C1",86,"#E19E37"
"pmVenus(L68V)-mTurquoise2",83,"#E19E37"
"ER-mScarletI",68,"#E19E37"
"ER-mNeonGreen",63,"#E19E37"
"pP2A-mCherry-N1",63,"#E19E37"
"pmTurquoise2-T2A-Venus(L68V)",52,"#E19E37"
"pSYFP2-SCFP3A",46,"#D96C6D"
"Gβ-2A-cpV-Gγ2-IRES-Gαi1-mTq2",34,"#D96C6D"
"pSCFP3A-C1",32,"#D96C6D"
"pSGFP2-C1",30,"#D96C6D"
"Gβ-2A-cpV-Gγ2-IRES-Gαi3-mTq2",29,"#D96C6D"
"Gβ-2A-cpV-Gγ2-IRES-Gαi2-mTq2",28,"#D96C6D"
"pmCherry-FKBP12-C1",28,"#D96C6D"
"cpVenus-Gγ2",21,"#D96C6D"
"LifeAct-HaloTag",20,"#D96C6D"
"pH1R-P2A-mCherry-N1",20,"#D96C6D"
"FRB-ECFP(W66A)-Giantin",19,"grey80"
"Galphai3-mTurquoise2",17,"grey80"
"pH1R-mCherry-N1",17,"grey80"
"dimericTomato-2xrGBD",16,"grey80"
"Galphai1-mTurquoise2",16,"grey80"
"Galphai2-mTurquoise2",16,"grey80"
"EMTB-mNeonGreen",15,"grey80"
"EMTB-mScarletI",14,"grey80"
"pYC3.60-C1",14,"grey80"
"mNeonGreen-peroxi",13,"grey80"
"pmTurquoise-N1",13,"grey80"
"pmVenus-C2-MmMKL2",13,"grey80"
"ECFP(W66A)-FRB-MoA",10,"grey80"
"pLV-H2B-Maroon-P2A-3xnls-Tq-Ca-FLITS",9,"grey80"
"mNeonGreen-Paxillin",8,"grey80"
"pH2R-P2A-mCherry-N1",8,"grey80"
"pH3R-mCherry-N1",8,"grey80"
"pLck-mVenus-C1",8,"grey80"
"pmCherry-C1-p63RhoGEF",8,"grey80"
"3xmNeonGreen-3xrGBD",7,"grey80"
"3xNLS-SGFP2(T65G)-T2A-SGFP2-3xNES",7,"grey80"
"EMTB-mTurquoise2",7,"grey80"
"ITPKA-mTurquoise2",7,"grey80"
"mNeonGreen-MapTau",7,"grey80"
"pH2R-mCherry-N1",7,"grey80"
"pH4R-mCherry-N1",6,"grey80"
"pmTurquoise-C1",6,"grey80"
"pPB-3xnls-Tq-Ca-FLITS",6,"grey80"
"p63RhoGEF619-mVenus-N1",5,"grey80"
"pH3R-P2A-mCherry-N1",5,"grey80"
"HsB2AR-mCherry",4,"grey80"
"mCherry-C1-TGAT",4,"grey80"
"mNeonGreen-3xrGBD",4,"grey80"
"mTurquoise2-MapTau",4,"grey80"
"pH2B-SCFP1-2A-mTq2-NES",4,"grey80"
"pH4R-P2A-mCherry-N1",4,"grey80"
"RnBarr2-mCherry",4,"grey80"
"RnBarr2-mVenus",4,"grey80"
"HaloTag-3xrGBD",3,"grey80"
"Lck-FRB-ECFP(W66A)",3,"grey80"
"Lck-mTurquoise2-iLID",3,"grey80"
"mCherry-RnBarr2",3,"grey80"
"miRFP670 - H2A",3,"grey80"
"p63(1-29)-mCherry-N1",3,"grey80"
"p63RhoGEF580-mVenus-N1",3,"grey80"
"RnBarr1-mVenus",3,"grey80"
"SSpB-HaloTag-p63DH",3,"grey80"
"CMVdel-dimericTomato-WASp(CRIB)",2,"grey80"
"Gq sensor",2,"grey80"
"iSH-iRFP670-sspB",2,"grey80"
"mTurquoise2-3xrGBD",2,"grey80"
"PiggyBac-G13-sensor",2,"grey80"
"pLV-Lck-FRB-mTurquoise2",2,"grey80"
"pmCherry-C1-DH",2,"grey80"
"pmCherry-FKBP12-C1-DH",2,"grey80"
"SspB-HaloTag-DHPH-ITSN1",2,"grey80"
"SSpB-mCherry-p63DH",2,"grey80"
"BtGRK2-sYFP2",1,"grey80"
"H2A-mTurquoise-RHOG-QL-deltaCAAX",1,"grey80"
"HaloTag-2xrGBD",1,"grey80"
"HsGRK6-mVenus",1,"grey80"
"mVenus-C1-GEFT",1,"grey80"
"mVenus-RnBarr2",1,"grey80"
"N1-Tq-Ca-FLITS",1,"grey80"
"nanobody(AntiGFP)-HaloTag-iLID",1,"grey80"
"pEntr1a-wGBD-mTurquoise2-wGBD",1,"grey80"
"pEntra1a-mTurquoise2-3xrGBD",1,"grey80"
"pLV-SspB-HaloTag-p63DH",1,"grey80"
"pmCherry-C1-pmDH",1,"grey80"
"RnAT1aR-mCherry",1,"grey80"
"RnBarr1-mTurquoise2",1,"grey80"
"RnBarr2-mTurquoise2",1,"grey80"
"SspB-HaloTag-DHPH-TIAM1",1,"grey80"
"SspB-iRFP-DHPH-ITSN1",1,"grey80"
"SspB-iRFP-DHPH-TIAM1",1,"grey80"
"SSpB-iRFP-p63DH",1,"grey80"
"SspB-mCherry-DHPH-TIAM1",1,"grey80"
"SspB-mCherry-DHPH1-TRIO",1,"grey80"
"TOMM20-mTurquoise-Rac1-G12V-deltaCaaX",1,"grey80"
