"Tissue","Replicate","Value","difference"
"Healthy",1,0.129372348077595,0.800258254725486
"Healthy",2,0.478118034312502,-0.00284228860400615
"Healthy",3,0.924074469832703,-0.246318537183106
"Healthy",4,0.59876096714288,0.0139385520946235
"Healthy",5,0.976170694921166,-0.291380213946104
"Healthy",6,0.731792511884123,0.563301591062918
"Healthy",7,0.356726912083104,0.489508411241695
"Healthy",8,0.431473690550774,0.748511199234053
"Healthy",9,0.148211560677737,1.13240747419186
"Healthy",10,0.0130775754805654,0.800046634022146
"Healthy",11,0.715566066093743,-0.251757585583255
"Healthy",12,0.103184235747904,0.632303255936131
"Healthy",13,0.446284348610789,0.677441598009318
"Healthy",14,0.640101045137271,0.097514288360253
"Healthy",15,0.991838620044291,0.0385755024384706
"Healthy",16,0.495593577856198,0.745020976150408
"Healthy",17,0.484349524369463,0.771782140340656
"Healthy",18,0.173442334868014,0.617916946159676
"Healthy",19,0.754820944508538,0.0256729410961271
"Healthy",20,0.453895489219576,0.841549936775118
"Healthy",21,0.511169783771038,0.533145979139954
"Healthy",22,0.207545113284141,0.93353353543207
"Healthy",23,0.228658142732456,0.776645303796977
"Healthy",24,0.595711996313184,0.707369615184143
"Healthy",25,0.57487219828181,0.118857956817374
"Healthy",26,0.0770643802825361,0.514195729605854
"Healthy",27,0.0355405795853585,1.25091036371887
"Healthy",28,0.642795492196456,0.26054399353452
"Healthy",29,0.928615199634805,0.348442343389615
"Healthy",30,0.598092422354966,-0.00889879991300402
"Healthy",31,0.560900748008862,0.597202304378152
"Healthy",32,0.526027723914012,0.598471168754622
"Healthy",33,0.985095223877579,0.358629594417289
"Healthy",34,0.507641822332516,0.440004764683545
"Healthy",35,0.682788078673184,0.428955789050087
"Healthy",36,0.601541217649356,0.187363882176578
"Healthy",37,0.238868677755818,0.262004448426887
"Healthy",38,0.258165926672518,1.06913616191596
"Healthy",39,0.729309623362496,-0.0460771230515092
"Healthy",40,0.452570831403136,0.538002327410504
"Healthy",41,0.175126768415794,0.335233836527914
"Healthy",42,0.746698269620538,0.493808762496337
"Healthy",43,0.104987640399486,0.612976044043899
"Healthy",44,0.864544949028641,0.318306387960911
"Healthy",45,0.614644971676171,0.0528632356785238
"Healthy",46,0.557159538846463,0.061485746037215
"Healthy",47,0.328777319053188,0.588019517343491
"Healthy",48,0.453131445450708,0.215819146577269
"Healthy",49,0.500440972624347,0.0807273547165096
"Healthy",50,0.180866361130029,0.737709776358679
"Tumor",1,0.929630602803081,0.800258254725486
"Tumor",2,0.475275745708495,-0.00284228860400615
"Tumor",3,0.677755932649598,-0.246318537183106
"Tumor",4,0.612699519237503,0.0139385520946235
"Tumor",5,0.684790480975062,-0.291380213946104
"Tumor",6,1.29509410294704,0.563301591062918
"Tumor",7,0.8462353233248,0.489508411241695
"Tumor",8,1.17998488978483,0.748511199234053
"Tumor",9,1.2806190348696,1.13240747419186
"Tumor",10,0.813124209502712,0.800046634022146
"Tumor",11,0.463808480510488,-0.251757585583255
"Tumor",12,0.735487491684034,0.632303255936131
"Tumor",13,1.12372594662011,0.677441598009318
"Tumor",14,0.737615333497524,0.097514288360253
"Tumor",15,1.03041412248276,0.0385755024384706
"Tumor",16,1.24061455400661,0.745020976150408
"Tumor",17,1.25613166471012,0.771782140340656
"Tumor",18,0.79135928102769,0.617916946159676
"Tumor",19,0.780493885604665,0.0256729410961271
"Tumor",20,1.29544542599469,0.841549936775118
"Tumor",21,1.04431576291099,0.533145979139954
"Tumor",22,1.14107864871621,0.93353353543207
"Tumor",23,1.00530344652943,0.776645303796977
"Tumor",24,1.30308161149733,0.707369615184143
"Tumor",25,0.693730155099183,0.118857956817374
"Tumor",26,0.59126010988839,0.514195729605854
"Tumor",27,1.28645094330423,1.25091036371887
"Tumor",28,0.903339485730976,0.26054399353452
"Tumor",29,1.27705754302442,0.348442343389615
"Tumor",30,0.589193622441962,-0.00889879991300402
"Tumor",31,1.15810305238701,0.597202304378152
"Tumor",32,1.12449889266863,0.598471168754622
"Tumor",33,1.34372481829487,0.358629594417289
"Tumor",34,0.947646587016061,0.440004764683545
"Tumor",35,1.11174386772327,0.428955789050087
"Tumor",36,0.788905099825934,0.187363882176578
"Tumor",37,0.500873126182705,0.262004448426887
"Tumor",38,1.32730208858848,1.06913616191596
"Tumor",39,0.683232500310987,-0.0460771230515092
"Tumor",40,0.99057315881364,0.538002327410504
"Tumor",41,0.510360604943708,0.335233836527914
"Tumor",42,1.24050703211687,0.493808762496337
"Tumor",43,0.717963684443384,0.612976044043899
"Tumor",44,1.18285133698955,0.318306387960911
"Tumor",45,0.667508207354695,0.0528632356785238
"Tumor",46,0.618645284883678,0.061485746037215
"Tumor",47,0.916796836396679,0.588019517343491
"Tumor",48,0.668950592027977,0.215819146577269
"Tumor",49,0.581168327340856,0.0807273547165096
"Tumor",50,0.918576137488708,0.737709776358679
