"time","Cell","Roundness"
0,"neutro 1",0.53
0,"neutro 2",0.54
0,"neutro 3",0.55
0,"neutro 4",0.59
0,"neutro 5",0.58
0,"neutro 6",0.34
0,"neutro 7",0.38
0,"neutro 8",0.52
0,"neutro 9",0.66
0,"neutro 10",0.35
0,"neutro 11",0.44
0,"neutro 12",0.39
10,"neutro 1",0.44
10,"neutro 2",0.6
10,"neutro 3",0.5
10,"neutro 4",0.4
10,"neutro 5",0.54
10,"neutro 6",0.4
10,"neutro 7",0.37
10,"neutro 8",0.43
10,"neutro 9",0.66
10,"neutro 10",0.33
10,"neutro 11",0.44
10,"neutro 12",0.42
20,"neutro 1",0.33
20,"neutro 2",0.55
20,"neutro 3",0.64
20,"neutro 4",0.3
20,"neutro 5",0.48
20,"neutro 6",0.41
20,"neutro 7",0.43
20,"neutro 8",0.46
20,"neutro 9",0.58
20,"neutro 10",0.23
20,"neutro 11",0.45
20,"neutro 12",0.26
30,"neutro 1",0.35
30,"neutro 2",0.54
30,"neutro 3",0.69
30,"neutro 4",0.28
30,"neutro 5",0.52
30,"neutro 6",0.32
30,"neutro 7",0.48
30,"neutro 8",0.3
30,"neutro 9",0.51
30,"neutro 10",0.22
30,"neutro 11",0.41
30,"neutro 12",0.36
40,"neutro 1",0.41
40,"neutro 2",0.53
40,"neutro 3",0.57
40,"neutro 4",0.23
40,"neutro 5",0.44
40,"neutro 6",0.29
40,"neutro 7",0.39
40,"neutro 8",0.28
40,"neutro 9",0.39
40,"neutro 10",0.21
40,"neutro 11",0.5
40,"neutro 12",0.36
50,"neutro 1",0.32
50,"neutro 2",0.4
50,"neutro 3",0.4
50,"neutro 4",0.26
50,"neutro 5",0.43
50,"neutro 6",0.25
50,"neutro 7",0.34
50,"neutro 8",0.32
50,"neutro 9",0.28
50,"neutro 10",0.16
50,"neutro 11",0.43
50,"neutro 12",0.47
60,"neutro 1",0.35
60,"neutro 2",0.32
60,"neutro 3",0.28
60,"neutro 4",0.43
60,"neutro 5",0.54
60,"neutro 6",0.27
60,"neutro 7",0.31
60,"neutro 8",0.3
60,"neutro 9",0.23
60,"neutro 10",0.18
60,"neutro 11",0.42
60,"neutro 12",0.38
70,"neutro 1",0.42
70,"neutro 2",0.33
70,"neutro 3",0.24
70,"neutro 4",0.42
70,"neutro 5",0.5
70,"neutro 6",0.52
70,"neutro 7",0.32
70,"neutro 8",0.35
70,"neutro 9",0.43
70,"neutro 10",0.19
70,"neutro 11",0.44
70,"neutro 12",0.32
80,"neutro 1",0.51
80,"neutro 2",0.32
80,"neutro 3",0.21
80,"neutro 4",0.4
80,"neutro 5",0.53
80,"neutro 6",0.54
80,"neutro 7",0.35
80,"neutro 8",0.35
80,"neutro 9",0.42
80,"neutro 10",0.14
80,"neutro 11",0.39
80,"neutro 12",0.35
90,"neutro 1",0.59
90,"neutro 2",0.27
90,"neutro 3",0.24
90,"neutro 4",0.47
90,"neutro 5",0.48
90,"neutro 6",0.63
90,"neutro 7",0.46
90,"neutro 8",0.45
90,"neutro 9",0.4
90,"neutro 10",0.14
90,"neutro 11",0.61
90,"neutro 12",0.39
100,"neutro 1",0.66
100,"neutro 2",0.25
100,"neutro 3",0.28
100,"neutro 4",0.39
100,"neutro 5",0.43
100,"neutro 6",0.37
100,"neutro 7",0.45
100,"neutro 8",0.54
100,"neutro 9",0.54
100,"neutro 10",0.16
100,"neutro 11",0.55
100,"neutro 12",0.44
110,"neutro 1",0.48
110,"neutro 2",0.26
110,"neutro 3",0.28
110,"neutro 4",0.4
110,"neutro 5",0.43
110,"neutro 6",0.4
110,"neutro 7",0.51
110,"neutro 8",0.61
110,"neutro 9",0.49
110,"neutro 10",0.14
110,"neutro 11",0.54
110,"neutro 12",0.55
120,"neutro 1",0.39
120,"neutro 2",0.34
120,"neutro 3",0.46
120,"neutro 4",0.39
120,"neutro 5",0.5
120,"neutro 6",0.46
120,"neutro 7",0.35
120,"neutro 8",0.5
120,"neutro 9",0.46
120,"neutro 10",0.16
120,"neutro 11",0.37
120,"neutro 12",0.4
130,"neutro 1",0.46
130,"neutro 2",0.29
130,"neutro 3",0.42
130,"neutro 4",0.46
130,"neutro 5",0.54
130,"neutro 6",0.56
130,"neutro 7",0.38
130,"neutro 8",0.51
130,"neutro 9",0.52
130,"neutro 10",0.15
130,"neutro 11",0.29
130,"neutro 12",0.53
140,"neutro 1",0.27
140,"neutro 2",0.36
140,"neutro 3",0.42
140,"neutro 4",0.49
140,"neutro 5",0.53
140,"neutro 6",0.48
140,"neutro 7",0.33
140,"neutro 8",0.46
140,"neutro 9",0.51
140,"neutro 10",0.17
140,"neutro 11",0.35
140,"neutro 12",0.63
150,"neutro 1",0.29
150,"neutro 2",0.58
150,"neutro 3",0.34
150,"neutro 4",0.48
150,"neutro 5",0.49
150,"neutro 6",0.47
150,"neutro 7",0.26
150,"neutro 8",0.7
150,"neutro 9",0.46
150,"neutro 10",0.17
150,"neutro 11",0.35
150,"neutro 12",0.61
160,"neutro 1",0.3
160,"neutro 2",0.51
160,"neutro 3",0.5
160,"neutro 4",0.58
160,"neutro 5",0.44
160,"neutro 6",0.43
160,"neutro 7",0.28
160,"neutro 8",0.63
160,"neutro 9",0.47
160,"neutro 10",0.17
160,"neutro 11",0.33
160,"neutro 12",0.52
170,"neutro 1",0.33
170,"neutro 2",0.52
170,"neutro 3",0.33
170,"neutro 4",0.54
170,"neutro 5",0.38
170,"neutro 6",0.43
170,"neutro 7",0.26
170,"neutro 8",0.67
170,"neutro 9",0.49
170,"neutro 10",0.2
170,"neutro 11",0.27
170,"neutro 12",0.48
180,"neutro 1",0.29
180,"neutro 2",0.7
180,"neutro 3",0.47
180,"neutro 4",0.52
180,"neutro 5",0.47
180,"neutro 6",0.37
180,"neutro 7",0.25
180,"neutro 8",0.62
180,"neutro 9",0.35
180,"neutro 10",0.19
180,"neutro 11",0.26
180,"neutro 12",0.38
190,"neutro 1",0.3
190,"neutro 2",0.74
190,"neutro 3",0.39
190,"neutro 4",0.54
190,"neutro 5",0.49
190,"neutro 6",0.44
190,"neutro 7",0.23
190,"neutro 8",0.7
190,"neutro 9",0.24
190,"neutro 10",0.16
190,"neutro 11",0.34
190,"neutro 12",0.56
200,"neutro 1",0.29
