"Time","Cell","Activity","amplitude","rank"
0,"Cell.1",1.001216,50.315458,0.741935483870968
0,"Cell.2",1.002646,49.0784891,0.387096774193548
0,"Cell.3",1.002209,49.1608432,0.419354838709677
0,"Cell.4",0.991787,54.72428,1
0,"Cell.5",0.9935569,53.9923307,0.967741935483871
0,"Cell.6",0.9961453,51.4303486,0.870967741935484
0,"Cell.7",0.9964277,52.5428662,0.935483870967742
0,"Cell.8",1.000677,51.187307,0.838709677419355
0,"Cell.9",0.9999106,49.881537,0.67741935483871
0,"Cell.10",1.004327,50.8529285,0.806451612903226
0,"Cell.11",1.008659,49.7917974,0.645161290322581
0,"Cell.12",1.007467,50.3284978,0.774193548387097
0,"Cell.13",0.9875549,49.6419659,0.548387096774194
0,"Cell.14",0.9941667,49.4013006,0.483870967741935
0,"Cell.15",0.9931722,51.9740685,0.903225806451613
0,"Cell.16",0.9918481,49.7225102,0.580645161290323
0,"Cell.17",0.9973316,49.5812456,0.516129032258065
0,"Cell.18",0.9976466,49.9310024,0.709677419354839
0,"Cell.19",0.998294,47.4779692,0.193548387096774
0,"Cell.20",0.9954924,47.4997003,0.225806451612903
0,"Cell.21",1.002498,47.8125827,0.258064516129032
0,"Cell.22",0.9986917,49.0180877,0.354838709677419
0,"Cell.23",0.9987728,48.0714543,0.290322580645161
0,"Cell.24",0.9988987,48.5968825,0.32258064516129
0,"Cell.25",1.001945,46.9078372,0.0967741935483871
0,"Cell.26",0.9954534,49.7401503,0.612903225806452
0,"Cell.27",1.002506,46.9168102,0.129032258064516
0,"Cell.28",0.9957569,49.1636775,0.451612903225806
0,"Cell.29",0.9852318,44.3182663,0
0,"Cell.30",1.000745,46.8093946,0.0645161290322581
0,"Cell.31",0.9927866,45.612368,0.032258064516129
0,"Cell.32",0.9871355,47.128056,0.161290322580645
0.1666667,"Cell.1",0.9994997,50.315458,0.741935483870968
0.1666667,"Cell.2",0.9928106,49.0784891,0.387096774193548
0.1666667,"Cell.3",0.9997658,49.1608432,0.419354838709677
0.1666667,"Cell.4",0.9975348,54.72428,1
0.1666667,"Cell.5",1.001891,53.9923307,0.967741935483871
0.1666667,"Cell.6",1.003979,51.4303486,0.870967741935484
0.1666667,"Cell.7",1.009878,52.5428662,0.935483870967742
0.1666667,"Cell.8",1.001505,51.187307,0.838709677419355
0.1666667,"Cell.9",1.001438,49.881537,0.67741935483871
0.1666667,"Cell.10",0.9938114,50.8529285,0.806451612903226
0.1666667,"Cell.11",0.9791933,49.7917974,0.645161290322581
0.1666667,"Cell.12",0.9925425,50.3284978,0.774193548387097
0.1666667,"Cell.13",1.010644,49.6419659,0.548387096774194
0.1666667,"Cell.14",1.002442,49.4013006,0.483870967741935
0.1666667,"Cell.15",0.9980425,51.9740685,0.903225806451613
0.1666667,"Cell.16",0.9974822,49.7225102,0.580645161290323
0.1666667,"Cell.17",0.9976164,49.5812456,0.516129032258065
0.1666667,"Cell.18",0.9881339,49.9310024,0.709677419354839
0.1666667,"Cell.19",1.012225,47.4779692,0.193548387096774
0.1666667,"Cell.20",1.013222,47.4997003,0.225806451612903
0.1666667,"Cell.21",1.002234,47.8125827,0.258064516129032
0.1666667,"Cell.22",1.002342,49.0180877,0.354838709677419
0.1666667,"Cell.23",0.9963444,48.0714543,0.290322580645161
0.1666667,"Cell.24",0.9969288,48.5968825,0.32258064516129
0.1666667,"Cell.25",0.9990684,46.9078372,0.0967741935483871
0.1666667,"Cell.26",0.9973828,49.7401503,0.612903225806452
