"Condition","Treatment","Time","object","activity"
"Cdc42","S1P",0,"Cell 01",1.003517
"Cdc42","S1P",0,"Cell 02",1.001549
"Cdc42","S1P",0,"Cell 03",0.9810209
"Cdc42","S1P",0,"Cell 04",0.986904
"Cdc42","S1P",0,"Cell 05",1.004199
"Cdc42","S1P",0,"Cell 06",1.004937
"Cdc42","S1P",0,"Cell 07",1.0042
"Cdc42","S1P",0,"Cell 08",1.001421
"Cdc42","S1P",0,"Cell 09",1.000108
"Cdc42","S1P",0,"Cell 10",1.000748
"Cdc42","S1P",0,"Cell 11",1.001506
"Cdc42","S1P",0,"Cell 12",1.005785
"Cdc42","S1P",0,"Cell 13",1.011188
"Cdc42","S1P",0,"Cell 14",1.014723
"Cdc42","S1P",0,"Cell 15",1.008939
"Cdc42","S1P",0,"Cell 16",1.003241
"Cdc42","S1P",0,"Cell 17",1.006872
"Cdc42","S1P",0,"Cell 18",1.001929
"Cdc42","S1P",0,"Cell 19",1.000866
"Cdc42","S1P",0,"Cell 20",NA
"Cdc42","S1P",0,"Cell 21",NA
"Cdc42","S1P",0,"Cell 22",NA
"Cdc42","S1P",0,"Cell 23",NA
"Cdc42","S1P",0,"Cell 24",NA
"Cdc42","S1P",0,"Cell 25",NA
"Cdc42","S1P",0,"Cell 26",NA
"Cdc42","S1P",0,"Cell 27",NA
"Cdc42","S1P",0,"Cell 28",NA
"Cdc42","S1P",0,"Cell 29",NA
"Cdc42","S1P",0,"Cell 30",NA
"Cdc42","S1P",0,"Cell 31",NA
"Cdc42","S1P",0,"Cell 32",NA
"Cdc42","S1P",0.1666667,"Cell 01",0.9991689
"Cdc42","S1P",0.1666667,"Cell 02",0.9961631
"Cdc42","S1P",0.1666667,"Cell 03",0.9801265
"Cdc42","S1P",0.1666667,"Cell 04",0.9891608
"Cdc42","S1P",0.1666667,"Cell 05",0.9989283
"Cdc42","S1P",0.1666667,"Cell 06",0.9892894
"Cdc42","S1P",0.1666667,"Cell 07",0.9903881
"Cdc42","S1P",0.1666667,"Cell 08",0.9975485
"Cdc42","S1P",0.1666667,"Cell 09",0.9937496
"Cdc42","S1P",0.1666667,"Cell 10",0.995352
"Cdc42","S1P",0.1666667,"Cell 11",0.9962637
"Cdc42","S1P",0.1666667,"Cell 12",0.9972004
"Cdc42","S1P",0.1666667,"Cell 13",0.9894263
"Cdc42","S1P",0.1666667,"Cell 14",1.004496
"Cdc42","S1P",0.1666667,"Cell 15",1.002604
"Cdc42","S1P",0.1666667,"Cell 16",0.9978889
"Cdc42","S1P",0.1666667,"Cell 17",0.9970717
"Cdc42","S1P",0.1666667,"Cell 18",0.9993551
"Cdc42","S1P",0.1666667,"Cell 19",0.9980562
"Cdc42","S1P",0.1666667,"Cell 20",NA
"Cdc42","S1P",0.1666667,"Cell 21",NA
"Cdc42","S1P",0.1666667,"Cell 22",NA
"Cdc42","S1P",0.1666667,"Cell 23",NA
"Cdc42","S1P",0.1666667,"Cell 24",NA
"Cdc42","S1P",0.1666667,"Cell 25",NA
"Cdc42","S1P",0.1666667,"Cell 26",NA
"Cdc42","S1P",0.1666667,"Cell 27",NA
"Cdc42","S1P",0.1666667,"Cell 28",NA
"Cdc42","S1P",0.1666667,"Cell 29",NA
"Cdc42","S1P",0.1666667,"Cell 30",NA
"Cdc42","S1P",0.1666667,"Cell 31",NA
"Cdc42","S1P",0.1666667,"Cell 32",NA
"Cdc42","S1P",0.3333333,"Cell 01",1.001345
"Cdc42","S1P",0.3333333,"Cell 02",1.004644
"Cdc42","S1P",0.3333333,"Cell 03",1.010602
"Cdc42","S1P",0.3333333,"Cell 04",1.012491
"Cdc42","S1P",0.3333333,"Cell 05",0.9953477
"Cdc42","S1P",0.3333333,"Cell 06",1.010482
"Cdc42","S1P",0.3333333,"Cell 07",1.014011
"Cdc42","S1P",0.3333333,"Cell 08",1.001674
"Cdc42","S1P",0.3333333,"Cell 09",1.00035
"Cdc42","S1P",0.3333333,"Cell 10",1.003132
"Cdc42","S1P",0.3333333,"Cell 11",1.001552
"Cdc42","S1P",0.3333333,"Cell 12",0.9942397
"Cdc42","S1P",0.3333333,"Cell 13",0.9921575
"Cdc42","S1P",0.3333333,"Cell 14",1.007361
"Cdc42","S1P",0.3333333,"Cell 15",1.002989
"Cdc42","S1P",0.3333333,"Cell 16",1.000964
"Cdc42","S1P",0.3333333,"Cell 17",0.9984493
"Cdc42","S1P",0.3333333,"Cell 18",0.9968905
"Cdc42","S1P",0.3333333,"Cell 19",0.996683
"Cdc42","S1P",0.3333333,"Cell 20",NA
"Cdc42","S1P",0.3333333,"Cell 21",NA
"Cdc42","S1P",0.3333333,"Cell 22",NA
"Cdc42","S1P",0.3333333,"Cell 23",NA
"Cdc42","S1P",0.3333333,"Cell 24",NA
"Cdc42","S1P",0.3333333,"Cell 25",NA
"Cdc42","S1P",0.3333333,"Cell 26",NA
"Cdc42","S1P",0.3333333,"Cell 27",NA
"Cdc42","S1P",0.3333333,"Cell 28",NA
"Cdc42","S1P",0.3333333,"Cell 29",NA
"Cdc42","S1P",0.3333333,"Cell 30",NA
"Cdc42","S1P",0.3333333,"Cell 31",NA
"Cdc42","S1P",0.3333333,"Cell 32",NA
"Cdc42","S1P",0.5,"Cell 01",1.001579
